"# of Use","# počet použití"
"There are no %s available.","%s nie je k dispozícii."
"(Copy data from: %s)","(Kopírovať údaje z: %s)"
"(Will make search for the query above return results for this search.)","(Vytvorí vyhľadávanie, ktoré vráti výsledky vyššie uvedeného zadania.)"
"-- Please Select --","-- Vyberte prosím --"
"and","a"
"and above","a vyššie"
"Add Recipient","Add Recipient"
"Enabled","Aktívny"
"Update attributes","Aktualizovať vlastnosti"
"Currently Shopping by","Aktuálny nákup podľa"
"OR","ALEBO"
"All Reviews","All Reviews"
"Are you sure you want to delete this attribute set?","Are you sure you want to delete this attribute set?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Category Data","Údaje kategórie"
"Attribute Identifier","Attribute Identifier"
"Autogenerate","Automatické generovanie"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Next","Ďalší"
"Additional Information","Ďalšie informácie"
"Yes","Áno"
"Yes/No","Áno/Nie"
"Special Price:","Špeciálna cena:"
"Product Tags","Štítky produktu"
"None","Žiadne"
"No layout updates","Žiadne aktualizácie schém"
"Regular Price:","Bežná cena:"
"Best Selling Products","Best Selling Products"
"No image","Bez obrázka"
"Invalid store specified","Bol špecifikovaný neplatný obchod"
"Invalid store specified, skipping the record","Bol špecifikovaný neplatný obchod, záznam vynechaný"
"Invalid product type specified, skipping the record","Bol špecifikovaný neplatný typ produktu, záznam vynechaný"
"Invalid attribute set specified, skipping the record","Bola špecifikovaná neplatná sada vlastností, záznam vynechaný"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Bola špecifikovaná neplatná voľba pre vlastnosť %s (%s), záznam vynechaný"
"Invalid option id specified for %s (%s), skipping the record","Bolo špecifikované neplatné ID možnosti pre %s (%s), záznam vynechaný"
"Bundle","Bundle"
"Buy %s for %s","Buy %s for %s"
"Buy %s for %s each","Buy %s for %s each"
"Catalog Searches","Catalog Searches"
"Integer Number","Celé číslo"
"Integer","Celé číslo"
"Total of %d record(s) were successfully updated","Celkový počet úspešne aktualizovaných záznamov %d"
"Total of %d record(s) were successfully deleted","Celkový počet úspešne zmazaných záznamov: %d"
"Price:","Cena:"
"Price","Ceny"
"Price values for options should be specified in system base currency.","Ceny musia byť špecifikované v základnej systémovej mene."
"Check items to add to the cart or ","Check items to add to the cart or "
"Failed","Chyba"
"Error during retrieval of option value: %s","Chyba počas prijímania hodnoty voľby: %s"
"Category move error","Chyba pri presune kategórie"
"Failed to move file: %s","Chyba pri presune súboru: %s"
"Error while adding customers for %s alert. Message: %s","Chyba pri pridávaní zákazníka pre %s upozornenie. Správa: %s"
"Product saving error.","Chyba pri ukladaní produktu."
"Error while saving this group. Please try again later.","Chyba pri ukladaní skupiny. Skúste neskôr prosím."
"Error while saving this group. Group with the same name already exists.","Chyba pri ukladaní skupiny. Skupina s rovnakým názvom už existuje."
"Category delete error","Chyba pri zmazaní kategórie"
"Missing SKU, skipping the record","Chybajúci kód, záznam vynechaný"
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Cross-sell Products","Cross-sell Products"
"Customer Reviews","Customer Reviews"
"This attribute no longer exists","Daná vlastnosť neexistuje"
"This search no longer exists","Dané vyhľadávanie neexistuje."
"Date","Dátum"
"Date Subscribed","Dátum zapísania"
"Datetime","Dátum/Čas"
"Default Tax Class","Default Tax Class"
"Declare attribute value saving scope","Deklarovať vlastnosť hodnoty pri ukladaní rozsahu."
"Decimal Number","Desatinné číslo"
"Decimal","Desatinný"
"Discount","Discount"
"Product Image Placeholders","Dočasné obrázky produktu"
"Bottom/Left","Dolu/Vľavo"
"Bottom/Right","Dolu/Vpravo"
"Up-sells","Doporučenia"
"Availability: In stock.","Dostupnosť: Na sklade."
"Availability: Out of stock.","Dostupnosť: Nie je na sklade."
"Learn More","Dozvedieť sa viac"
"Email","E-mail"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Email Address","Email Address"
"Email Address:","Email Address:"
"Email:","Email:"
"Entity collection is expected","Entity collection is expected"
"Filter must be as object. Set correct filter please","Filter musí byť objekt. Nastavte prosím správny filter"
"Filters must be as array","Filtre musia byť polia."
"Filterable (no results)","Filtrovateľný (bez výsledkov)"
"Filterable (with results)","Filtrovateľný (s výsledkami)"
"Fixed","Fixný"
"Gallery","Galéria"
"Global","Globálne"
"Globally Editable","Globálne upraviteľný"
"Search Query","Hľadaný výraz"
"Search Term was successfully saved","Hľadaný výraz bol úspešne uložený"
"Unable to find a search term to delete","Hľadaný výraz pre zmazanie nebol nájdený"
"Search Term with such search query already exist.","Hľadaný výraz s rovnakým zadaním už existuje."
"Home","Hlavná stránka"
"Feature Products","Hlavné produkty"
"Values Required","Hodnoty sú povinné"
"Top/Left","Hore/Vľavo"
"Top/Right","Hore/Vpravo"
"For internal use. Must be unique with no spaces","Iba pre vnútorné použitie. Musí byť unikátne a bez medzier"
"Products only","Iba produkty"
"Static block only","Iba statické bloky"
"ID","ID"
"Products Information","Informácie o produkte"
"Product Information","Informácie o produkte"
"Attribute Information","Informácie o vlastnosti"
"Search Information","Informácie o vyhľadávaní"
"Product collection expected","Je očakávaná kolekcia produktu"
"Is Default","Je predvolený"
"Simple Product","Jednoduchý produkt"
"Kamper state-of-art Extra Comfort runners","Kamper state-of-art Extra Comfort runners"
"Catalog","Katalóg"
"Catalog, Search","Katalóg, Vyhľadávanie"
"Category saved","Kategória bola uložená"
"Category deleted","Kategória bola zmazaná"
"Category","Kategórie"
"Categories","Kategórie"
"Product Categories","Kategórie produktu"
"SKU","Kód"
"Attribute Code","Kód vlastnosti"
"Super product attributes configuration","Konfigurácia vlastností superproduktov"
"Configurable Product","Konfigurovateľný produkt"
"Duplicate","Kopírovať"
"Duplicate website tier price customer group and quantity.","Kopírovať webovú vrstvu ceny pre zákaznícku skupinu a množstvo"
"Root","Koreň"
"Quick Overview","Krátky popis"
"As low as:","Len:"
"Manage Ratings","Manage Ratings"
"Site Map","Mapa stránok"
"Categories Sitemap","Mapa stránok kategórií"
"Products Sitemap","Mapa stránok produktov"
"Maximum Qty Allowed in Shopping Cart","Maximálne povolené množstvo v nákupnom košíku"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"List Mode","Mód Zoznam"
"Can be used only with catalog input type Dropdown","Môže byť použité iba s katalógovým typom Dropdown (rozbaľovacie menu)"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Môže byť použité iba s katalógovým typom Dropdown (rozbaľovacie menu), Multiple Select (viacnásobný výber) a Cena"
"First Name","Meno"
"Name In %s","Meno v: %s"
"Name<br/>(For internal use)","Meno<br/>(pre interné použitie)"
"Message:","Message:"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Qty","Množ."
"Tier Pricing","Množstevná zľava"
