"%s - Special Discounts","%s - Špeciálne zľavy"
"%s - Discounts and Coupons","%s - Zľavy a kupóny"
"%s has reached a quantity of %s.","%s dosiahlo množstvo %s."
"%s's Wishlist","%s's Wishlist"
"Current Status: %s<br/>","Aktuálne stavy: %s<br/>"
"Special Products","Špeciálne produkty"
"Special/Discount Products","Špeciálne/Zľavnené produkty"
"Tags Products","Štítky produktov"
"Grand Total","Celkový súčet"
"Error in processing xml. %s","chyba pri spracovaní xml. %s"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
"Tax","Daň"
"Gift Message","Darčekový odkaz"
"Notified Date: %s<br/>","Dátum upozornenia: %s<br/>"
"Discount ","Discount "
"Catalog","Katalóg"
"Comment: %s<br/>","Komentár: %s<br/>"
"Coupons/Discounts","Kupóny/Zľavy"
"Subtotal","Medzisúčet"
"Customer Name: %s","Meno zákazníka: %s"
"Top Level Category","Najvyššia úroveň kategórie"
"Rss Config","Nastavenie RSS"
"Cannot retrieve the wishlist","Nie je možné obnoviť Zoznam prianí"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty z %s"
"Store: %s <br/>","Obchod: %s <br/>"
"Order # %s Notification(s)","Objednávka č. %s upozornenia"
"Order #%s created at %s","Objednávka č.%s bola vytvorená %s"
"From:","Od:"
"Message:","Odkaz:"
"Pending product review(s)","Pending product review(s)"
"Shipping & Handling","Poštovné a balné"
"Details for %s #%s","Podrobnosti o %s č.%s"
"Enable RSS","Povoliť RSS"
"To:","Pre:"
"Summary of review: %s <br/>","Prehľad recenzie: %s <br/>"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkt obsahuje štítky %s"
"Low Stock Products","Produkty s nízkymi zásobami"
"Review: %s <br/>","Recenzia: %s <br/>"
"RSS Feeds","RSS kanály"
"Total: %s<br/>","Spolu: %s<br/>"
"There are no %s.","There are no %s."
"Customer Order Status Notification","Upozornenia zákazníkov o stavoch objednávky"
"Purchased From: %s","Zakúpené z: %s"
"Get Feed","Získať kanál"
"Wishlist","Zoznam prianí"
