"-- Please select --","-- Vyberte prosím --"
"Error Email Template","Šablóna chybového e-mailu"
"Base currency (Currency will be used for all online payment transactions)","Base currency (Currency will be used for all online payment transactions)"
"Country","Country"
"Allowed currencies","Dostupné meny"
"Frequency","Frekvencia"
"Currency Setup","Inštalácia mien"
"Country and Format Type combination should be unique","Krajina a typ formátu by mali byť jedinečné"
"FATAL ERROR:","KRITICKÁ CHYBA:"
"Currency","Mena"
"Installed Currencies","Nainštalované meny"
"Scheduled Import Settings","Nastavenia plánovaného importu"
"Invalid Import Service Specified","Neplatná špecifikovaná importovacia služba"
"Invalid target currency","Neplatná cieľová mena"
"Invalid country code: %s","Neplatný kód krajiny: %s"
"Cannot retrieve rate from %s","Nie je možné obnoviť pomer z %s"
"Unable to initialize import model","Nie je možné spustiť importovací model"
"Error Email Sender","Odosielateľ chybového e-mailu"
"State/Province","Okres/Provincia"
"Start Time","Počiatočný čas"
"Continue &raquo;","Pokračovať &raquo;"
"Default display currency","Predvolené zobrazenie meny"
"Invalid rates received","Prijaté neplatné pomery"
"Error Email Recipient","Prijímateľ chybového e-mailu"
"Service","Služba"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"Currency Update Warnings","Upozornenia na aktualizácie meny"
"WARNING:","UPOZORNENIE:"
"Your current currency is: %s","Vaša aktuálna mena je: %s"
"Currency Options","Vlastnosti meny"
"Select Your Currency","Vyberte svoju menu"
"Enabled","Zapnuté"
