"* Required Fields","* Povinne vyplnené polia"
"Yes","Áno"
"No","č."
"Error while saving gift message","Chyba pri ukladaní darčekového odkazu"
"Gift Messages","Darčekové odkazy"
"Gift Message","Darčekový odkaz"
"Gift message has been successfully saved","Darčekový odkaz bol úspešne uložený"
"Edit","Editovať"
"Edit Gift Message","Editovať darčekový odkaz"
"Do you have any gift items in your order?","Máte v objednávke nejaké darčekové položky?"
"Enter a gift message for entire order.","Napíšte darčekový odkaz pre celú objednávku."
"Enter a gift message for each item in your order.","Napíšte darčekový odkaz pre každú položku vo svojej objednávke."
"Enter a gift message for this address.","Napíšte darčekový odkaz pre túto adresu."
"Unknown entity type","Neznámy typ objektu"
"From","Od"
"Message","Odkaz"
"Remove","Odstrániť"
"Item %d of %d","Položka %d z %d"
"Use config","Použite konfig."
"Allow Gift Messages on Order Level","Povoliť darčekové odkazy na úrovni objednávky"
"Allow Gift Messages for Order Items","Povoliť darčekové odkazy pre položky objednávky"
"To","Pre"
"Add","Pridať"
"Add Gift Message","Pridať darčekový odkaz"
"Are you sure?","Ste si istý?"
"Save","Uložiť"
"Save Gift Message","Uložiť darčekový odkaz"
"Your gift message successfully removed","Váš darčekový odkaz úspešne odstránený"
"Your gift message successfully saved","Váš darčekový odkaz úspešne uložený"
"Your gift message has been successfully removed","Váš darčekový odkaz bol úspešne odtránený"
"Your gift message has been successfully saved","Váš darčekový odkaz bol úspešne uložený"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Check this checkbox if you want to add gift messages to your items.","Zaškrtnite, ak si želáte napísať darčekový odkaz k vašim položkám."
"Check this checkbox if you want to add gift messages.","Zaškrtnite, ak si želáte napísať darčekový odkaz."
"Close","Zavrieť"
"Cancel","Zrušiť"
