"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"* Required Fields","* Povinne vyplnené polia"
"Update Wishlist","Aktualizovať Zoznam prianí"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Are You sure?","Are You sure?"
"Email Template","Šablóna e-mailu"
"Can't save description %s","Can't save description %s"
"Email addresses, separated by commas","E-mailové adresy, odeľované čiarkami"
"Email address can't be empty.","Email address can't be empty."
"My Wishlist","Môj Zoznam prianí"
"My Wishlist (%d items)","Môj Zoznam prianí (%d položiek)"
"My Wishlist (%d item)","Môj Zoznam prianí (%d položka)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"Are you sure you want to remove this product from your wishlist?","Naozaj chcete naozaj odstrániť tento produkt z Vášho Zoznamu prianí?"
"Last Added Items","Naposledy pridané položky"
"Cannot specify product","Nie je možné určiť produkt"
"Cannot create wishlist","Nie je možné vytvoriť Zoznam prianí"
"Email Sender","Odosielateľ e-mailu"
"Remove Item","Odstrániť položku"
"Comment","Poznámka"
"Go to Wishlist","Prejdite do Zoznamu prianí"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Added On","Pridané"
"Product","Produkt"
"RSS Feed","RSS kanál"
"RSS link to %s's wishlist","RSS odkaz k Zoznamu prianí: %s"
"Back","Späť"
"Message","Text odkazu"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Your Wishlist was successfully shared","Váš Zoznam prianí bol úspešne zozdieľaný"
"General Options","Všeobecné vlastnosti"
"Share options","Vlastnosti zdieľania"
"Add to Cart","Vložiť do košíka"
"Add All to Cart","Vložiť všetko do košíka"
"You have no items in your wishlist.","Vo Vašom Zozname prianí nemáte žiadne položky."
"Please, enter your comments...","Vpíšte Váš komentár, prosím..."
"There was an error while deleting item from wishlist.","Vyskytla sa chyba v priebehu odstraňovania položky zo Zoznamu prianí."
"There was an error while deleting item from wishlist: %s","Vyskytla sa chyba v priebehu odstraňovania položky zo Zoznamu prianí: %s"
"There was an error while adding item to wishlist.","Vyskytla sa chyba v priebehu pridávania položky do Zoznamu prianí."
"There was an error while adding item to wishlist: %s","Vyskytla sa chyba v priebehu pridávania položky do Zoznamu prianí: %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtinite toto políčko, ak si želáte vytvoriť odkaz na RSS kanál k vášmu Zozamu prianí."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Zadajte prosím platné e-mailové adresy, navzájom oddeľované čiarkami. Napríklad jandurcika@nazov-domeny.sk, peterkratky@domena.sk."
"You input not valid email address.","Zadali ste neplatnú e-mailovú adresu."
"Enabled","Zapnuté"
"Share Your Wishlist","Zdieľať môj Zoznam prianí"
"Share Wishlist","Zdieľať Zoznam prianí"
"Sharing Information","zdieľané informácie"
"Wishlist Sharing","Zdieľanie Zoznamu prianí"
"View Product","Zobraziť produkty"
"Wishlist","Zoznam prianí"
"Wishlist is empty now.","Zoznam prianí je prázdny."
"%s's Wishlist","Zoznam prianí zákazníka %s"
