" Copy"," Kopírovať"
"Newsletter unsubscription success","Úspešné odhlásenie z odberu spravodaja"
"Newsletter subscription success","Úspešné prihlásenie k odberu spravodaja"
"Thank you for your subscription","Ďakujeme za vaše prihlásenie"
"Success Email Template","Šablóna e-mailu úspešného prihlásenia k odberu noviniek"
"Template Information","Šablóna Informácií"
"Template Content","Šablóna Obsahu"
"Unsubscription Email Template","Šablóna odhlasovacieho e-mailu"
"Confirmation Email Template","Šablóna potvrdzujúceho e-mailu"
"Template Subject","Šablóna Subjektu"
"Newsletter Templates","Šablóny spravodaja"
"Start","Štart"
"No Templates Found","Žiadne šablóny"
"No problems found","Žiadne problémy"
"Confirmation request has been sent","Žiadosť o potvrdenie bola odoslaná"
"You have been successfully unsubscribed.","Boli ste úspešne odhlásný z odberu noviniek."
"Error Code","Chybový kód"
"Error Text","Chybový text"
"Date Updated","Dátum aktualizácie"
"Date Added","Dátum pridania"
"Resume","Dokončiť"
"Duplicate of template code","Duplikovať kód šablóny"
"Email","E-mail"
"Sender Email","E-mail odosielateľa"
"Edit Template","Editovať šablónu"
"Edit Newsletter Template","Editovať šablónu spravodaja"
"Edit Newsletter","Editovať spravodaj"
"Edit Queue","Editovať zástup"
"Enter your email address","Enter your email address"
"Form was filled incorrectly","Formulár bol nesprávne vyplnený"
"Queue Newsletter","Fronta spravodaja"
"Newsletter Queue","Fronta spravodaja"
"Guest","Hosť"
"ID","ID"
"Queue Information","Informácie o fronte"
"Queue Finish","Koniec fronty"
"Sender Name","Meno odosielateľa"
"Customer Firstname","Meno zákazníka"
"Are you sure that you want to strip all tags?","Naozaj chcete odobrať všetky štítky?"
"Are you sure that you want to delete this template?","Naozaj chcete zmazať túto šablónu?"
"Do you really want to cancel the queue?","Naozaj chcete zrušiť frontu?"
"Preview","Náhľad"
"Preview Template","Náhľad na šablónu"
"Newsletter Message Preview","Náhľad textu spravodaja"
"Return Html Version","Návrat k HTML verzii"
"Template Name","Názov šablóny"
"Not activated","Neaktivované"
"No subscribers selected","Neboli vybratí žiadni odberatelia"
"Not Sent","Neodoslané"
"Invalid subscriber ID","Neplatné ID odberateľa"
"Invalid subscription ID","Neplatné ID prihlášky"
"Invalid subscription confirmation code","Neplatný potvrdzovaci kód prihlásenia"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Cannot delete subscriber","Nie je možné odstrániť odoberateľa"
"Cannot mark as received subscriber","Nie je možné označiť ako prijatého odberateľa"
"Cannot save your subscription: %s","Nie je možné uložiť Vašu prihlášku: %s"
"Cannot delete template","Nie je možné zmazať šablónu"
"New Template","Nová šablóna"
"New Newsletter Template","Nová šablóna spravodaja"
"Store","Obchod"
"Subscriber","Odberateľ"
"Subscribers","Odberatelia"
"Subscribers From","Odberatelia z"
"Unsubscribe","Odhlásiť"
"Unsubscribe Selected","Odhlásiť vybrané"
"Sending","Odosiela sa"
"Sender","Odosielateľ"
"Success Email Sender","Odosielateľ e-mailu úspešného prihlásenia k odberu noviniek"
"Unsubscription Email Sender","Odosielateľ odhlasovacieho e-mailu"
"Confirmation Email Sender","Odosielateľ potvrdzujúceho e-mailu"
"Sent","Odoslané"
"Action","Operácia"
"Newsletter subscription confirmation","Potvrdenie prihlásenia k odberu spravodaja"
"Newsletter Subscribers","Príjemcovia spravodaja"
"Toggle Editor","Prepínač editora"
"Convert to Plain Text","Previesť na obyčajný text"
"Add to Queue","Pridať do fronty"
"Add New Template","Pridať novú šablónu"
"Customer Lastname","Priezvisko zákazníka"
"Subscribe","Prihlásiť"
"Sign up for our newsletter:","Prihlásiť k odberu Spravodaja:"
"Recipients","Prijímatelia"
"Newsletter Problem Reports","Problémy Spravodaja"
"The subscription was successfully saved","Schválenie bolo úspešne uložené"
"Sign me up","Sign me up"
"Back","Späť"
"Processed","Spracované"
"Newsletter","Spravodaj"
"Status","Stav"
"Subcribed","Subcribed"
"Subject","Subjekt"
"Queue Subject","Subjekt fronty"
"Message","Text odkazu"
"Type","Typ"
"Template Type","Typ šablóny"
"Save And Resume","Uložiť a dokončiť"
"Save As","Uložiť ako"
"Save Template","Uložiť šablónu"
"Save Newsletter","Uložiť spravodaja"
"Unsubcribed","Unsubcribed"
"Your subscription was successfully confirmed","Vaše prihlásenie bolo úspešne potvrdené"
"Subscription Options","Vlastnosti prihlásenia"
"Need to Confirm","Vyžadovať potvrdenie"
"Please select subscriber(s)","Vyberte prosím odberateľa/ov"
"Selected problems successfully deleted","Vybrané problémy boli úspešne zmazané"
"Selected problem subscribers successfully unsubscribed","Vybratý problémoví odberatelia boli úspešne odstránení"
"Reset","Vynulovať"
"There was an error while saving your subscription","Vyskytol sa problém počas ukladania Vášho prihlásenia"
"There was a problem with the un-subscription.","Vyskytol sa problém s odhlásením."
"There was a problem with the subscription","Vyskytol sa problém s prihlásením"
"There was a problem with the subscription: %s","Vyskytol sa problém s prihlásením: %s"
"Create Newsletter Template","Vytvoriť šablónu spravodaja"
"Website","Webstránka"
"Queue Date Start","Začiatočný dátum fronty"
"Queue Start","Začiatok fronty"
"Please enter new template name","Zadajte prosím nový názov šablóny"
"Pause","Zadržať"
"Paused","Zadržané"
"Customer","Zákazník"
"Delete Template","Zmazať šablónu"
"Delete Selected Problems","Zmazať vybraté problémy"
"Store View","Zobrazenie: Obchod"
"View Newsletter","Zobraziť spravodaja"
"Cancelled","Zrušené"
"Cancel","Zrušiť"
"Invalid queue selected","Zvolená neplatná fronta"
