"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Дозволити кількість нижче 0 та повідомити клієнта"
"Backorders","Попереднє замовлення"
"By Fixed value","За фіксованим значенням"
"By Percentage","За відсотковим співвідношенням"
"Can not specify product identifier for order item","Неможливо визначити ідентифікатор товару для замовлення"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Зменшити кількість товару при розміщенні замовлення"
"In Stock","In Stock"
"Inventory","Асортимент"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Максимальна кількість дозволена в кошику"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кількість дозволена в кошику"
"No Backorders","Попереднє замовлення недоступне"
"Notify for Quantity Below","Повідомити про кількість нижче"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Ціна для правила"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Варіанти наявності товару"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Необхідна кількість у розмірі ""%s"" недоступна."
"The requested quantity is not available.","Необхідна кількість недоступна."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсоткового співвідношення"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Оновити продукт"
