"%s was successfully added to your shopping cart.","«%s» успішно додано до кошика."
"&laquo; Back to Billing Information","&laquo; Назад до платіжних даних"
"&laquo; Back to Select Addresses","&laquo; Назад до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Назад до кошика"
"* Required Fields","* Обов’язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Додати нову умову"
"Add to Cart","В кошик"
"Add to Compare","До порівняння"
"Add to Wishlist","До бажаних"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After adding a product redirect to shopping cart","Щойно крам додано, автоматично перенаправляти на сторінку кошика"
"Allow Guest Checkout","Дозволити подавати замовлення без реєстрації"
"Already registered?","Маєте обліковий запис?"
"An error occurred in the process of payment","Під час оплати сталася помилка"
"Apply Coupon","Застосувати купон"
"Are you sure you would like to remove this item from the shopping cart?","Чи ви дійсно бажаєте вийняти цей крам з кошика?"
"Back","Назад"
"Back to Shipping Information","Назад до даних про отримувача"
"Based on your selection, you may be interested in the following items:","Зважаючи на ваш вибір, можливо вас зацікавить і такий крам:"
"Billing Address","Адреса платника"
"Billing Information","Платіжні дані"
"Billing Information - %s","Платіжні дані — %s"
"Can not add item to shopping cart","Не вдалося покласти крам в кошик"
"Can not apply coupon code.","Не вдалося застосувати код купона."
"Can't open overview page","Не вдалося відкрити сторінку із загальним оглядом"
"Cancel Coupon","Відмінити дію купона"
"Cannot remove item","Не вдалося вийняти крам"
"Cannot update shopping cart","Не вдалося оновити стан кошика"
"Card Verification Number Visual Reference","Наочна вказівка на код CVC2 (CVV2) на картці"
"Cart Subtotal:","Загальна вартість краму в кошику:"
"Change","Змінити"
"Change Billing Address","Змінити адресу платника"
"Checkbox text","Checkbox text"
"Checkout","Оформлення замовлення"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Налаштування замовлення"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout method","Метод оформлення замовлення"
"Checkout with Multiple Addresses","Подати замовлення з кількома адресами"
"City","Місто"
