"Billing Information","Інформація про оплату"
"Change Payment Method","Змінити спосіб оплати"
"Change Shipping Address","Змінити адресу доставки"
"Edit Shopping Cart","Редагувати кошик"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Товари у Вашому кошику"
"No shipping method required.","No shipping method required."
"PayPal Account","Обліковий запис PayPal"
"PayPal Email","PayPal Email адреса"
"Payment Method","Спосіб оплати"
"Place an Order","Оформити замовлення"
"Please select a shipping method...","Будь-ласка, виберіть метод доставки..."
"Price","Ціна"
"Product Name","Назва товару"
"Qty","Кількість"
"Review Order","Залишити відгук про замовлення"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація про доставку"
"Shipping Method","Метод доставки"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Submitting order information...","Надсилається інформаця про замовлення..."
"Subtotal","Всього"
"Update Shipping Method","Оновити метод доставки"
"You will be redirected to PayPal website when you place an order.","Вас буде перенаправлено до paypal після оформлення замовлення."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Ваша адреса оплати не буде братись до уваги і Вас перенаправлять на вебсайт PayPal UK "
