"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","Список бажань %s"
"* Required Fields","* позначені обов&#39;язкові поля"
"Add All to Cart","Додати всі товари в корзину"
"Add to Cart","Додати в корзину"
"Add to Wishlist","Додати в списку бажань"
"Added On","Додано"
"Are You sure?","Ви впевнені?"
"Are you sure you want to remove this product from your wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are you sure you would like to remove this item from the wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Back","Назад"
"Can't save description %s","Неможливо зберегти опис %s"
"Cannot create wishlist","Неможливо створити список бажань"
"Cannot specify product","Неможливо визначити товар"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Позначте галочку, якщо бажаєте додати лінк до стрічки новин rss до вашого списку бажань."
"Comment","Нотатки"
"Email Sender","Email відправника"
"Email Template","Email шаблон"
"Email address can't be empty.","Поле Email адреси не може бути пустим."
"Email addresses, separated by commas","Email адреси,задані через кому"
"Enabled","Увімкнено"
"General Options","Загальні налаштування"
"Go to Wishlist","Перейти до списку бажань"
"Last Added Items","Останні додані товари"
"Message","Повідомлення"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Мій список бажань (%d шт.)"
"My Wishlist (%d items)","Мій список бажань(%d шт.)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Будь-ласка, введіть дійсні email адреси через кому. Наприклад Ivandoe@domain.com, Ivansmith@domain.com."
"Please, enter your comments...","Будь-ласка, введіть Вашу нотатку..."
"Product","Продукт"
"RSS Feed","Стрічка новин RSS"
"RSS link to %s's wishlist","RSS лінк на список бажань %s"
"Remove Item","Видалити товар"
"Share Wishlist","Надіслати список бажань"
"Share Your Wishlist","Надішліть Ваш список бажань"
"Share options","Опції надсилання"
"Sharing Information","Sharing Information"
"There was an error while adding item to wishlist.","Сталась помилка при додаванні товару до списку бажань."
"There was an error while adding item to wishlist: %s","Сталась помилка при додаванні товару до списку бажань: %s"
"There was an error while deleting item from wishlist.","Сталась помилка при видаленні товару зі списку бажань."
"There was an error while deleting item from wishlist: %s","Сталась помилка при видаленні товару зі списку бажань: %s"
"This product(s) is currently out of stock:","На даний момент цей товар відсутній на складі:"
"Update Wishlist","Оновити список бажань"
"View Product","Переглянути продукт"
"Wishlist","Список бажань"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Надсилання списку бажань"
"Wishlist is empty now.","Список бажань порожній."
"You have no items in your wishlist.","Ваш список бажань пустий."
"You input not valid email address.","Ви ввели невірну email адресу."
"Your Wishlist was successfully shared","Ваш список бажань був успішно надісланий"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Мій список бажань"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
