"%s already exist","%s вже існують"
"%s already exists","%s вже існує"
"-- Please Select --","-- Please Select --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Додати код магазину до Url"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Розширені"
"Allow countries","Дозволені країни"
"Allowed IPs (comma separated)","Дозволені IP (через кому)"
"Are you sure?","Ви впевнені?"
"Back","Повернутись"
"Backup options","Backup options"
"Base JavaScript URL","Основний JavaScript URL"
"Base Link URL","Основний URL посилання"
"Base Media URL","Base URL медіа"
"Base Skin URL","Base URL скіна"
"Base URL","Основний URL"
"Before modifying the store view code please make sure that it is not used in index.php","Перед внесенням змін в код магазину, будь-ласка, переконайтесь, що він не використовується в index.php"
"Before modifying the website code please make sure that it is not used in index.php","Перед внесенням змін в код вебсайту, будь-ласка, переконайтесь, що він не використовується в index.php"
"Block with name ""%s"" already exists","Блок з іменем ""%s"" вже існує"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Неможливо знайти пошуковий об'єкт"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cancel","Відмінити"
"Cannot Delete Email Template","Неможливо видалити Email шаблон"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Код"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Файл контролеру був завантажений, проте класу не існує"
"Cookie Domain","Cookie домен"
"Cookie Lifetime","Час збереження Cookie"
"Cookie Path","Шлях до Cookie"
"Copyright","Copyright"
"Countries options","Варіанти країн"
"Create Store","Створити групу магазинів"
"Create Store View","Створити магазин"
"Create Website","Створити вебсайт"
"Current package name","Назва поточного пакету"
"Custom Design","Особливий дизайн"
"Custom admin URL","Custom admin URL"
"Custom email 1","Особливий email 1"
"Custom email 2","Особливий email 2"
"Customer support","Підтримка клієнтів"
"Date From","Від"
"Date To","До"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Повідомити про помилку"
"Default","За замовчуванням"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Сторінки за замовчуванням"
"Default Robots","Default Robots"
"Default Store","Група магазинів за замовчуванням"
"Default Store View","Магазин за замовчуванням"
"Default Title","Default Title"
"Default country","Країна за замовчуванням"
"Default no-route url","Default no-route url"
"Default web url","Веб url за замовчуванням"
"Delete","Видалити"
"Delete Store","Видалити групу магазинів"
"Delete Store View","Видалити магазин"
"Delete Website","Видалити вебсайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Дизайн"
"Design Change","Зміна дизайну"
"Developer","Розробник"
"Developer Client Restrictions","Обмеження розробника щодо користувачів"
"Disable email communications","Відключити можливість спілкування через email "
"Disable modules output","Відключення виводу модулів"
"Duplicate Of Template Code","Дублювати шаблон коду"
"Edit Design Change","Редагувати зміни в дизайні"
"Edit Store","Редагувати групу магазинів"
"Edit Store View","Редагувати магазин"
"Edit Website","Редагувати вебсайт"
"Empty identifier field name","Пусте значення ідентифікатора назви поля"
"Empty main table name","Пусте значення назви основної таблиці"
"Enabled","Показувати"
"Enabled for Admin","Показувати для Адміністратора"
"Enabled for Frontend","Показувати на зовнішньому інтерфейсі"
