"Billing Information","Fakturainformation"
"Change Payment Method","Ändra betalningssätt"
"Change Shipping Address","Ändra leveransadressen"
"Edit Shopping Cart","Ändra i varukorgen"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Artiklar i din varukorg"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal-konto"
"PayPal Email","PayPal-epost"
"Payment Method","Betalningssätt"
"Place an Order","Lägg en beställning"
"Please select a shipping method...","Vänligen välj ett leveranssätt..."
"Price","Pris"
"Product Name","Produktnamn"
"Qty","Antal"
"Review Order","Granska beställning"
"Shipping Address","Leveransadress"
"Shipping Information","Information om leverans"
"Shipping Method","Leveranssätt"
"Sorry, no quotes are available for this order at this time.","För närvarande är tyvärr inga offerter tillgängliga för denna beställning."
"Submitting order information...","Skickar beställningsinformation..."
"Subtotal","Summa (ex.moms)"
"Update Shipping Method","Uppdatera leveranssätt"
"You will be redirected to PayPal website when you place an order.","Du kommer att skickas vidare till PayPals webbplats efter att du har lagt en beställning."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Din faktureringsadress kommer att ignoreras och du kommer istället att skickas till PayPals webbplats"
