"All Websites","Alla sidor"
"Apply Percent Discounts To FPT","Tillämpa procentuell rabatt på produktskatt"
"Apply Tax To FPT","Tillämpa moms på produktskatt"
"Display Prices In Emails","Visa priser i e-post"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices In Sales Modules","Visa priser i försäljningsmoduler"
"Display Prices On Product View Page","Visa priser på produktsidor"
"Enable FPT","Aktivera produktskatt"
"Excluding FPT","Exklusive produktskatt"
"Excluding FPT, FPT description, final price","Exklusive produktskatt, beskrivning för produktskatt, slutpris"
"Fixed Product Tax","produktskatt"
"Fixed Product Taxes","produktskatt"
"Include FPT In Subtotal","Inkludera produktskatt i delsumman"
"Including FPT and FPT description [excl. FPT VAT]","Inklusive produktskatt och beskrivning för produktskatt"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive produktskatt och beskrivning för produktskatt"
"Including FPT only","Endast inklusive produktskatt"
"Total","Totalsumma"
"Total incl. tax","Totalsumma inkl. moms"
