"Alert Email Sender","Avsändare notifikations-e-post"
"Alert subscription was deleted successfully","Prenumerationen på notifikationer har tagits bort"
"Alert subscription was saved successfully","Prenumerationen på notifikationer har sparats"
"Allow alert when product comes back in stock","Tillåt notifikation när produkten åter finns i lager."
"Allow alert when product price changes","Tillåt notifikation när priset på produkten ändras."
"Click here not to receive alerts for this product","Klicka här för att inte få notifikationer för denna produkt."
"Error Email Recipient","Mottagare av e-post om fel"
"Error Email Sender","Avsändare av e-post om fel"
"Error Email Template","Mall för e-post om fel"
"Frequency","Intervall"
"Not enough parameters","Parametrar saknas"
"Please try again later","Vänligen försök igen senare"
"Price alert Email Template","E-postmall för prisnotifikationer"
"Price:","Pris:"
"Product Alerts","Produktnotifikationer"
"Product Alerts Run Settings","Körinställningar för produktnotifikationer"
"Product alerts Cron error","Cron-fel för produktnotifikationer"
"Product not found","Ingen produkt hittades"
"Product price alert","Prisnotifikationer för produkt"
"Product stock alert","Notifikationer för lagersaldo"
"Sign up for price alert","Registrera dig för att få meddelande vid ändring av pris"
"Sign up to get notified when this product is back in stock","Registrera dig för att få meddelande när produkten åter finns i lager"
"Special price:","Kampanjpris"
"Start Time","Starttid"
"Stock alert Email Template","E-postmall för notifkationer om lagersaldo"
"Unsubscribe from all price alerts","Säg upp prenumerationer på alla prisnotifikationer"
"Unsubscribe from all stock alerts","Säg upp prenumerationer på notifikationer om lagersaldo"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du får detta meddelande för att du har angivit att du vill bli meddelad om att följande produkter nu åter finns i lager:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du får detta meddelande för att du har angivit att du vill bli meddelad när priset på följande produkter ändras:"
"You will no longer receive price alerts for this product","Du kommer inte längre att få notifikationer om prisändringar för denna produkt"
"You will no longer receive stock alerts","Du kommer inte längre att få några notifikationer om lagersaldo"
"You will no longer receive stock alerts for this product","Du kommer inte längre få notifikationer om lagersaldo för denna produkt"
