"%s already exist","%s finns redan"
"%s already exists","%s finns redan"
"-- Please Select --","-- Vänligen välj --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Lägg till Secret Key till URL:er"
"Add Store Code to Urls","Lägg till butikskod till URL:er"
"Admin","Admin"
"Admin Base URL","Admin Bas URL"
"Admin User Emails","Admin användarmail"
"Advanced","Avancerad"
"Allow countries","Tillåt länder"
"Allowed IPs (comma separated)","Tillåtna IP-adresser (separerade med komma)"
"Are you sure?","Är du säker?"
"Back","Tillbaka"
"Backup options","Backupval"
"Base JavaScript URL","Bas-URL för JavaScript"
"Base Link URL","Bas-URL för länkar"
"Base Media URL","Bas-URL för media"
"Base Skin URL","Bas-URL för teman"
"Base URL","Bas-URL"
"Before modifying the store view code please make sure that it is not used in index.php","Innan du ändrar på koden för butiksvyn, kontrollera att den inte används i index.php"
"Before modifying the website code please make sure that it is not used in index.php","Innan du ändrar på koden för webbplatsen, kontrollera att den inte används i index.php"
"Block with name ""%s"" already exists","Det finns redan ett block med namnet ""%s"""
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Det gick inte att hämta objekt för begäran"
"Can't retrieve entity config: %s","Det gick inte att hämta konfiguration för entitet: %s"
"Cancel","Avbryt"
"Cannot Delete Email Template","Kan inte ta bort e-postmall"
"Cannot complete this operation from non-admin area.","Kan inte slutföra denna åtgärden från ickeadmindelen."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Kod"
"Collections Data","Collections Data"
"Configuration","Konfigurering"
"Controller file was loaded but class does not exist","Kontrollerfilen har laddats men klassen finns inte"
"Cookie Domain","Domän för kaka"
"Cookie Lifetime","Livslängd för kaka"
"Cookie Path","Sökväg för kaka"
"Copyright","Copyright"
"Countries options","Alternativ för länder"
"Create Store","Skapa butik"
"Create Store View","Skapa butiksvy"
"Create Website","Skapa webbplats"
"Current package name","Aktuellt paketnamn"
"Custom Design","Anpassad design"
"Custom admin URL","Anpassad admin URL"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Customer support"
"Date From","Datum från"
"Date To","Datum till"
"Date/time format ""%s"" is not supported.","Datum/tidformat ""%s"" stöds ej."
"Debug","Avlusa"
"Default","Förvalt"
"Default Description","Förvald beskrivning"
"Default Keywords","Förvalda nyckelord"
"Default Pages","Förvalda sidor"
"Default Robots","Förvald Robots"
"Default Store","Förvald butik"
"Default Store View","Förvald butiksvy"
"Default Title","Förvald sidtitel"
"Default country","Förvalt land"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","Ta bort"
"Delete Store","Ta bort butik"
"Delete Store View","Ta bort butiksvy"
"Delete Website","Ta bort webbplats"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Designändring"
"Developer","Utvecklare"
"Developer Client Restrictions","Begränsningar för utvecklarklient"
"Disable email communications","Inaktivera e-postkommunikation"
"Disable modules output","Inaktivera utdata för moduler"
"Duplicate Of Template Code","Kopiering av mallkod"
"Edit Design Change","Ändra på designändring"
"Edit Store","Ändra på butiken"
"Edit Store View","Ändra på butiksvyn"
"Edit Website","Ändra på webbplatsen"
"Empty identifier field name","Tomt fältnamn för identifierare"
"Empty main table name","Tomt namn för huvudtabell"
"Enabled","Aktiverad"
"Enabled for Admin","Aktiverad för administratör"
"Enabled for Frontend","Aktiverad för kunddelen"
"Error in file: ""%s"" - %s","Det uppstod ett fel i filen: ""%s"" - %s"
"Error while saving. Please try again later.","Ett fel uppstod vid sparning. Vänligen försök igen senare."
"Error: Passwords do not match","Fel: Lösenorden är ej samma"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","Veckans första dag"
"Footer","Footer"
"Forgot Password Email Sender","Avsändare i e-post för glömda lösenord"
"Forgot Password Email Template","E-postmall för utskick av glömda lösenord"
"General","Allmänt"
"General Settings","Allmänna inställningar"
"General contact","General contact"
"Global","Global"
"HTML Head","HTMLhuvud"
"Header","Header"
"Host","Värd"
"Id path for specified store","ID-sökväg för angiven butik"
"Incorrect credit card expiration date","Kreditkortets utgångsdatum är felaktigt"
"Invalid base url type","Ogiltig typ för bas-URL"
"Invalid block name to set child %s: %s","Ogiltigt blocknamn för mängds barn %s: %s"
"Invalid block type: %s","Ogiltigt blocknamn: %s"
"Invalid block: %s","Ogiltigt block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ogiltigt argument för layoutuppdatering har angivits. Förväntade Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Ogiltig hanterare för layoutuppdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Ogiltig lagring av meddelanden ""%s"" för initiering av layoutmeddelanden"
"Invalid transactional email code: ","Ogiltig transaktionell e-postkod:"
"Invalid websites configuration path: %s","Ogiltig konfigurationssökväg för webbplatser: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Lämnas tomt om åtkomst ska ske från överallt"
"Locale","Språk"
"Locale options","Locale options"
"Log Settings","Loginställningar"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Alttext logobild"
"Logo Image Src","Src logobild"
