"-- Please Select --","-- Vänligen välj --"
"Add New Class","Lägg till ny klass"
"Add New Tax Rate","Lägg till ny momssats"
"Add New Tax Rule","Lägg till ny momsregel"
"Apply Discount On Prices Including Tax","Beräkna rabatt på pris inklusive moms"
"Apply Tax After Discount","Lägg på moms efter beräkning av rabatt"
"Apply Tax On","Lägg till moms på"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Back","Tillbaka"
"CSV","CSV"
"Calculation","Beräkning"
"Catalog prices include tax","Produktpriser anges inlusive moms"
"Class Name","Klassnamn"
"Code","Kod"
"Country","Land"
"Country/Region/Postal code combination","Land/Region/Postnummer kombination"
"County","Län"
"Custom price if available","Specialpris om det är angivet"
"Customer Tax Class","Momsklass för kund"
"Customer Tax Class Information","Information om momsklass för kunder"
"Customer Tax Classes","Momsklasser för kunder"
"Default Country","Förvalt Land"
"Default Post Code","Förvalt postnummer"
"Default State","Förvald region"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Ta bort klass"
"Delete Rate","Ta bort kurs"
"Delete Rule","Ta bort regel"
"Display","Visa"
"Display Cart/Order Prices","Visning av priser varukorg/order"
"Display Product Prices","Visa produktpriser"
"Display Shipping Prices","Visa fraktpriser"
"Display Zero Tax Subtotal","Visa delsumma för noll moms"
"Display full tax summary","Display full tax summary"
"Edit Class","Ändra klass"
"Edit Class '%s'","Ändra klassen '%s'"
"Edit Rule","Ändra regeln"
"Edit Tax Rate","Ändra momssats"
"Error while deleting this class. Please try again later.","Ett fel inträffade när klassen skulle raderas. Vänligen försök igen senare."
"Error while deleting this rate. Incorrect rate ID","Ett fel uppstod när kursen skulle tas bort: kursens ID är felaktigt"
"Error while deleting this rate. Please try again later.","Ett fel upstod när kursen skulle tas bort. Vänligen försök igen senare."
"Error while deleting this tax rule. Please try again later.","Ett fel uppstod när momsregeln skulle tas bort. Vänligen försök igen senare."
"Error while saving this rate. Please try again later.","Ett fel uppstod när kursen skulle sparas. Vänligen försök igen senare."
"Error while saving this tax class. Class with the same name ","Ett fel uppstod när momsklassen skulle sparas: det finns redan en klass med samma namn."
"Error while saving this tax class. Please try again later.","Ett fel uppstod när momsklassen skulle sparas. Vänligen försök igen senare."
"Error while saving this tax rule. Please try again later.","Ett fel uppstod när momsregeln skulle sparas. Vänligen försök igen senare."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Exkl. moms"
"Excl. Tax:","Excl. moms:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exportera momssatser"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importera / Exportera momssatser"
"Import Tax Rates","Importera momssatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl moms:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Felaktig data för momssats"
"Invalid data for tax rate calculation","Felaktig data för beräkning av moms"
"Invalid file format upload attempt","Filen du försökte ladda upp är av ett ogiltigt format."
"Invalid file upload attempt","Felaktigt försök att ladda upp fil"
"Manage Customer Tax Classes","Hantera momsklasser för kunder"
"Manage Product Tax Classes","Hantera momsklasser för produkter"
"Manage Tax Rates","Hantera momssatser"
"Manage Tax Rules","Hantera momsregler"
"Manage Tax Zones & Rates","Hantera momsområden och momssatser"
"Name","Namn"
"New Class","Ny klass"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"None","Ingen"
"One of the country has invalid code.","En av länderna har ogiltig kod."
"Original price only","Endast ordinarie pris"
"Please select Country","Vänligen välj land"
"Please select County","Vänligen välj land"
"Please select State","Vänligen välj region"
"Priority","Priority"
"Product Tax Class","Momsklass för produkt"
"Product Tax Class Information","Information om produktmomsklass"
"Product Tax Classes","Momsklasser för produkter"
"Rate","Sats"
"Reset","Nollställ"
"Sales","Försäljning"
"Save Class","Spara klass"
"Save Rate","Spara momssats"
"Save Rule","Spara regel"
"Shipping prices include tax","Fraktpriser anges inklusive moms"
"Sort Order","Sorteringsordning"
"State","Region/Stat"
"State/Region","Region"
"Tax","Moms"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Momsklass för frakt"
"Tax Classes","Momsklasser"
"Tax Identifier","Momsidentifierare"
"Tax Rate","Momssats"
"Tax Rate Information","Information om momssats"
"Tax Rule Information","Information om momsregler"
"Tax Rules","Momsregler"
"Tax Section","Momsdel"
"Tax Titles","Momstitlar"
"Tax class was successfully deleted","Momsklass har tagits bort"
"Tax class was successfully saved","Momsklass har sparats"
"Tax rate was successfully deleted","Momssats har tagits bort"
"Tax rate was successfully imported","Momssats har importerats"
"Tax rate was successfully saved","Momssats har sparats"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Momsregel har tagits bort"
"Tax rule was successfully saved","Momsregel har sparats"
"This class no longer exists","Denna klass finns inte längre"
"This rule no longer exists","Denna regel finns inte längre"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan inte ta bort denna momsklass då den används för %s kundgrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan inte ta bort denna momsklass då den används för %s produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan inte ta bort denna momsklass då den används för existerande momsregler. Du måste först ta bort momsreglerna."
"Zip/Post Code","Postkod"
