"-- Please Select --","-- Vänligen välj --"
"Account Registration","Registrera konto"
"All fields of script types have to be filled.","Samtliga fält för skripttyper måste fyllas i."
"Attributes","Attribut"
"Category View Optimization","Optimering av kategorivy"
"Control Script","Kontrollskript"
"Conversion Page","Konversionssida"
"Conversion Page URL","URL för konverteringssida"
"Conversion Script","Konverteringsskript"
"Enable","Aktivera"
"Google Optimizer Scripts","Google Optimizer-skript"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Installera skript"
"Limit is 8 attributes only.","Endast åtta attribut tillåts."
"Multi Address Checkout","Kassa med flera adresser"
"One Page Checkout","Ensideskassa"
"Order Success (Multi Address Checkout)","Slutförd beställning (kassan med flera adresser)"
"Order Success (One Page Checkout)","Slutförd beställning (ensideskassa)"
"Original Page","originalsida"
"Other","Annat"
"Page Type","Sidtyp"
"Page View Optimization","Optimering av sidvy"
"Please copy and paste this value to experiment edit form","Vänligen kopiera och klistra detta värde för att utföra experiment"
"Please select store view to see the URL","Vänligen välj butiksvy för att se URL:n"
"Product View Optimization","Optimering av produktvy"
"Scripts Install URL","Installations-URL för skript"
"Shopping Cart","Varukorg"
"Tracking Script","Spårningsskript"
"Use Default","Använd förvald"
"Use Default Values","Använd förvalda värden"
"Variant Page","Variantsida"
