"* Required Fields","* Obligatoriska fält"
"Add","Lägg till"
"Add Gift Message","Skriv presentmeddelande"
"Allow Gift Messages for Order Items","Tillåt presentmeddelanden för beställningsartiklar"
"Allow Gift Messages on Order Level","Tillåt presentmeddelanden endast för hela beställningen"
"Are you sure?","Är du säker?"
"Cancel","Avbryt"
"Check this checkbox if you want to add gift messages to your items.","Bocka för denna ruta om du vill skriva presentmeddelanden för dina artiklar."
"Check this checkbox if you want to add gift messages.","Bocka för denna ruta om du vill skriva presentmeddelanden."
"Close","Stäng"
"Do you have any gift items in your order?","Har du några presentartiklar i din beställning?"
"Edit","Ändra"
"Edit Gift Message","Ändra presentmeddelande"
"Enter a gift message for each item in your order.","Skriv ett presentmeddelande för varje artikel i din beställning."
"Enter a gift message for entire order.","Skriv in ett presentmeddelande för hela beställningen."
"Enter a gift message for this address.","Skriv in ett presentmeddelande för denna adress."
"Error while saving gift message","Ett fel uppstod när presentmeddelande skulle sparas"
"From","Från"
"Gift Message","Presentmeddelande"
"Gift Messages","Presentmeddelanden"
"Gift message has been successfully saved","Presentmeddelande har sparats"
"Item %d of %d","Artikel %d av %d"
"Message","Meddelande"
"No","Nej"
"Remove","Ta bort"
"Save","Spara"
"Save Gift Message","Spara presentmeddelande"
"To","Till"
"Unknown entity type","Okänd entitetstyp"
"Use config","Använd konfiguration"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","Om du inte vill skriva ett presentmeddelande för en specifik artikel, lämna kryssrutan obockad."
"You can leave a box blank if you don't wish to add a gift message for this address.","Om du inte vill skriva ett presentmeddelande för denna adress, lämna kryssrutan obockad."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Om du inte vill skriva ett presentmeddelande för hela beställningen, lämna kryssrutan obockad."
"Your gift message has been successfully removed","Ditt presentmeddelande har tagits bort"
"Your gift message has been successfully saved","Ditt presentmeddelande har sparats"
"Your gift message successfully removed","Ditt presentmeddelande har tagits bort"
"Your gift message successfully saved","Ditt presentmeddelande sparades"
