"%s and greater","%s un vairāk"
"Advanced Search","Paplašinātā meklēšana"
"All","Viss"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Automātiski ģenerēta lapas karte"
"Catalog Advanced Search","Kataloga izvērsta meklēšana"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Doties uz sākumlapu"
"Grid","Režģis"
"Home","Sākumlapa"
"List","Saraksts"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Rediģējiet Jūsu meklēšanas kritērijus"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Populāri meklēšanas nosacījumi"
"Popular search terms","Meklētākie termini"
"Relevance","Relevance"
"Required Fields","Nepieciešamie lauki"
"Results","Rezultāti"
"Search","Meklēt"
"Search Settings","Meklēšanas iestatījumi"
"Search Site","Meklēšanas weblapa"
"Search Terms","Meklēšanas atslēgvārdi"
"Search Type","Search Type"
"Search entire store here...","Meklēšana visā veikalā..."
"Search results for '%s'","Meklēšanas rezultāti priekš: '%s'"
"Search results for: '%s'","Meklēšanas rezultāti priekš: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Nav pieejami meklēšanas nosacījumi."
"Yes","Yes"
"You have to specify at least one search term","Jums jānorāda vismaz vienu meklēšanas nosacījumu."
"Your search returns no results.","Jūsu meklēšana nedeva rezultātu."
"up to %s","līdz pat %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
