"ALL","VISS"
"ANY","JEBKURŠ"
"Add","Pievienot"
"Apply","Pielietot"
"Description: %s","Apraksts: %s"
"Expire at: %s","Spēkā līdz: %s"
"FALSE","NEPATIESS"
"If %s of these conditions are %s:","Ja %s no šiem nosacījumiem ir %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Vārds: %s"
"Open Chooser","Atvērt izvēlni"
"Perform following actions","Veikt sekojošās darbības"
"Please choose a condition to add...","Lūdzu izvēlieties nosacījumu kuru pievienot"
"Please choose an action to add...","Lūdzu izvēlieties darbību kuru pievienot..."
"Remove","Izmest"
"Start at: %s","Sākt ar: %s"
"TRUE","PATIESS"
"by","pa"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","ir"
"is not","nav"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","uz"
