"* Required Fields","* Obilgāti aizpildāmie lauki"
"A new password was sent","A new password was sent"
"Account Dashboard","Vadības panelis"
"Account Information","Konta pārskats"
"Account Sharing Options","Account Sharing Options"
"Account information was successfully saved","Account information was successfully saved"
"Action","Darbība"
"Add New Address","Pievienot jaunu adresi"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Papildus adreses"
"Address","Adrese"
"Address Book","Adreses"
"Address Information","Address Information"
"Addresses","Addresses"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional","Always optional"
"Amount","Amount"
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Izdzēst šo adresi?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Average Sale"
"Back","Atpakaļ"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Billing Information"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Lietotājā reģistrācija vienkāršos jūsu turpmākos pirkumus, kā arī ļaus aplūkot jūsu veiktos pirkumus un vēl vairāk. "
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Atcelt"
"Change Account Password","Change Account Password"
"Change Billing Address","Labot rēķina adresi"
"Change Password","Mainīt paroli"
"Change Shipping Address","Labot piegādes adresi"
"City","Pilsēta/pagasts"
"Company","Uzņēmums"
"Config","Config"
"Confirm New Password","Atkārtot jauno paroli"
"Confirm Password","Atkārtot paroli"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontaktinformācija"
"Continue Shopping","Continue Shopping"
"Country","Valsts"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Create New Customer Account"
"Create Order","Create Order"
"Create an Account","Reģistrēties"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Pašreizējā parole"
"Customer","Customer"
"Customer Addresses","Customer Addresses"
"Customer Api","Customer Api"
"Customer Configuration","Customer Configuration"
"Customer Group","Customer Group"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Klientu grupas"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","Customer email already exists"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Klienti"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Datums"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Adreses lietošanā"
"Default Billing Address","Pašreizējā rēķina adrese"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Pašreizējā piegādes adrese"
"Default Welcome Email","Default Welcome Email"
"Delete","Izdzēst"
"Delete Address","Dzēst adresi"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Aizliegts"
"Edit","Mainīt"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Mainīt informāciju"
"Edit Address","Labot adresi"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Email Sender","E-pasta sūtītājs"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fakss"
"First Name","Vārds"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Piemirsās parole?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Šeit Jūs varat īsumā aplūkot veiktos pasūtījumus, sava lietotāja konta uzstādījumus, kā arī veikt izmaiņas tajos."
"General Subscription","Publiskā parakstišanās"
"Global","Global"
"Go to Address Book","Go to Address Book"
"Grand Total","Grand Total"
"Grand Total: %s","Grand Total: %s"
"Group","Group"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Group Information"
"Group Name","Grupas nosaukums"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Sveicināti, %s!"
"ID","ID"
"IP Address","IP Address"
"If you have an account with us, please log in.","Ja jau esat reģistrēts lietotājs jums šeit. "
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Nepareiza pašreizējā parole"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Last 5 Orders","Pēdējie 5 pirkumi"
"Last Activity","Last Activity"
"Last Name","Uzvārds"
"Last Url","Last Url"
"Last Viewed Items","Pēdējās aplūkotās preces"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Ielogoties"
"Log Out","Izlogoties"
"Log in or Create an Account","Log in or Create an Account"
"Login","Ielogoties"
"Login Information","Autorizācijas dati"
"Login and password are required","Login and password are required"
"Login or Create an Account","Izveidot lietotāja kontu vai ielogoties"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Mainīt adreses"
"Manage Customers","Manage Customers"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Month","Month"
"My Account","Lietotāja konts"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Iestatījumu pārskats"
"My Orders","Veiktie pasūtījumi"
"My Reviews","My Reviews"
"My Tags","Manas birkas"
"My Wishlist","My Wishlist"
"Name","Name"
"Name and Address Options","Name and Address Options"
"Never","Never"
"New Address","New Address"
"New Address Entry","New Address Entry"
"New Customer","New Customer"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","Jauniem lietotājiem"
"New Group","New Group"
"New Password","Jaunā parole"
"New account","New account"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Biļeteni"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Par biļetenu"
"Newsletter Received","Saņemts biļetens"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Biļeteni"
"Newsletters","Biļeteni"
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No item specified.","No item specified."
"No product collections found","No product collections found"
"Not Sent","Not Sent"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Pasūtījums #"
"Order #%s (%s)","Order #%s (%s)"
"Order List...","Order List..."
"Order Total","Order Total"
"Orders","Pasūtījumi"
"PDF","PDF"
"Password","Parole"
"Password Management","Password Management"
"Password Options","Password Options"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Paused","Apturēts"
"Payment Method","Apmaksas veids"
"Pending","Gaida apstrādi"
"Per Website","Per Website"
"Personal Information","Informācija par lietotāju"
"Please enter your email below and we'll send you a new password.","Lūdzu ievadiet Jūsu e-pastu un mēs nosūtīsim Jums jaunu paroli."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Lūdzu ievadiet savu e-pasta adresi"
"Please make sure your passwords match.","Lūdzu pārliecinieties vai paroles sakrīt"
"Please select","Lūdzu izvēlieties"
"Please select region, state or province","Izvēlaties reģionu, štatu vai provinci"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Cena"
"Primary Billing Address","Noklusētā rēķina adrese"
"Primary Shipping Address","Noklusētā piegādes adrese"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Prece"
"Product ID","Product ID"
"Product Name","Preces nosaukums"
"Product Reviews","Atsauksmes par preci"
"Product Tags","Preču birkas"
"Product name","Preces nosaukums"
"Purchase On","Purchase On"
"Purchased at","Nopirkts"
"Qty","Skaits"
"Recent Orders","Jaunākie veiktie pasūtījumi"
"Records for ""","Records for """
"Refunded","Atmaksāts"
"Registered Customers","Reģistrētiem lietotājiem"
"Remove","Izmest"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
