"Actions","Darbības"
"Active","Active"
"Add New Rule","Pievienot jaunu nosacījumu"
"Apply Rules","Piemērot nosacījumus"
"Attribute Set","Attribute Set"
"Catalog","Catalog"
"Catalog Price Rule","Preces cenas aprēķina nosacījums"
"Catalog Price Rules","Preču cenu aprēķina nosacījumi"
"Category","Category"
"Comments History","Comments History"
"Conditions","Nosacījumi"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Credit Memos","Credit Memos"
"Customer Groups","Klientu grupas"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Spēkā līdz"
"Date From","Date From"
"Date Start","Spēkā no"
"Date To","Date To"
"Delete Rule","Izdzēst nosacījumu"
"Description","Apraksts"
"Description: %s","Description: %s"
"Edit Rule","Mainīt nosacījumu"
"Edit Rule '%s'","Mainīt nosacījumu '%s'"
"Expire at: %s","Expire at: %s"
"From Date","From Date"
"General Information","General Information"
"Gift Messages","Gift Messages"
"ID","ID"
"Inactive","Inactive"
"Invoices","Faktūrrēķini"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","Jauns nosacījums"
"No","Nē"
"Options","Options"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","Order Gift Messages"
"Order History","Order History"
"Order Invoices","Order Invoices"
"Order Shipments","Order Shipments"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Promotions","Pārdošanas veicināšana"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Rules were successfully applied","Rules were successfully applied"
"Save Rule","Saglabāt nosacījumu"
"Save and Apply","Saglabāt un piemērot"
"Shipments","Piegādes"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Pārtraukt tālāku nosacījumu apstrādi"
"The page you are trying to save no longer exists","Lapa, kuru mēģinat saglabāt, vairs neeksistē"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Šis nosacījums vairs neeksistē"
"To Date","To Date"
"Unable to apply rules","Neizdevās piemērot nosacījumus"
"Unable to find a page to delete","Neizdevās atrast izdzēšamo lapu"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Websites","Websites"
"Yes","Jā"
