"# of Uses","Lietots # reizes"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Darbība"
"Actions","Darbības"
"Add New Tag","Pievienot jaunu birku"
"Add Tags","Pievienot"
"Add Your Tags:","Pievienot jaunas birkas:"
"Add to Cart","Ielikt grozā"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"All Tags","Visas birkas"
"Approved","Apstiprināts"
"Are you sure that you want to delete this tag?","Vai esat pārliecināts, ka vēlaties dzēst šo birku?"
"Are you sure you want to delete this tag?","Vai esat pārliecināts, ka vēlaties dzēst šo birku?"
"Are you sure you want to do this?","Vai esat pārliecināts, ka vēlaties to darīt?"
"Are you sure?","Vai esat pārliecināts?"
"Back","Atpakaļ"
"Back to Tags List","Atpakaļ uz birku sarakstu"
"Back to view Tag","Atpakaļ uz birkas apskates"
"Block Information","Bloķēt informāciju"
"CSV","CSV"
"Change status","Mainīt statusu"
"Click on a tag to view your corresponding products.","Klikšķis uz birkas, lai apskatītu atbilstošos produktus."
"Country","Valsts"
"Customer Since","Klients kopš"
"Customers","Klienti"
"Customers Tagged '%s'","Klientu birkas '%s'"
"Delete","Izdzēst"
"Delete Tag","Dzēst birku"
"Disabled","Aizliegts"
"Edit Tag","Labot birku"
"Edit Tag '%s'","Labot birku '%s'"
"Email","E-pasts"
"First Name","Vārds"
"General Information","Vispārēja informācija"
"Grid","Režģis"
"ID","NPK"
"Last Name","Uzvārds"
"List","Saraksts"
"My Recent Tags","Pēdējās izveidotās birkas"
"My Tags","Manas birkas"
"Name","Vārds"
"New Tag","Jauna birka"
"No matches found.","Nekas līdzīgs nav atrasts."
"Other people marked this product with these tags:","Citi cilvēki atzīmējuši šo produktu ar šīm birkām:"
"Pending","Gaida apstrādi"
"Pending Tags","Neizlemtas birkas"
"Popular","Populārs"
"Popular Tags","Lietotākās birkas"
"Popularity","Popularitāte"
"Price","Cena"
"Product Name","Preces nosaukums"
"Product SKU","Produkta SKU"
"Product Tags","Preces birkas"
"Products","Preces"
"Products Tagged with '%s'","Preces ar birku '%s'"
"Products tagged with '%s'","Preces ar birku '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkti atzīmēti ar birkām '%s' (<a href='%s'>RSS</a>)"
"SKU","Artikuls"
"Save Tag","Saglabāt birku"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Meklēšanas rezultāti par '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Statuss"
"Tag","Birka"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Birkas informācija"
"Tag Name","Birkas nosaukums"
"Tag Name: %s","Birkas nosaukums: %s"
"Tag can't be empty.","Birka nevar būt tukša."
"Tagged in","Ar birku iekš"
"Tags","Birkas"
"Tags Aren't Available","Birkas nav pieejamas"
"Tags:","Birkas:"
"Telephone","Tālrunis"
"Thank you. Your tag has been accepted for moderation.","Paldies jums. Jūsu birka ir apstiprināta apstrādei."
"Unable to find any products tagged with '%s' in the current store","Neizdevās šajā veikalā atrast nevienu preci ar birku '%s'"
"Unable to remove tag. Please, try again later.","Neizdzvās noņemt birku. Lūdzu vēlāk mēģiniet vēlreiz."
"Unable to save tag(s)","Neizdevās saglabāt birku(as)"
"Unable to save your tag. Please, try again later.","Neizdevās saglabāt birku. Lūdzu vēlāk mēģiniet vēlreiz."
"Use spaces to separate tags. Use single quotes (') for phrases.","Lietojiet atstarpes, lai atdalītu birkas, apostrofus lai sagrupētu frāzēs."
"Uses","Lietota"
"View All","View All"
"View All Tags","Visas izveidotās birkas"
"View Customers","Apskatīt klientus"
"View Products","Apskatīt produktus"
"Visible In","Redzams iekš"
"XML","XML"
"You have not tagged any products yet.","Nav preču, kurām Jūs būtu piešķiruši birku."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Pasta indekss"
"You have not tagged any products yet.","You have not tagged any products yet."
