"Actions","Darbības"
"Add Answer","Pievienot Atbildi"
"Add New Answer","Pievienot Jaunu Atbildi"
"Add New Poll","Pievienot Jaunu Aptauju"
"Answer Title","Atbildes Nosaukums"
"Answer Title:","Atbildes Nosaukums:"
"Answer was successfully saved","Atbilde ir veiksmīgi saglabāta"
"Answer with the same title in this poll","Atbildēt ar to pašu nosaukumu šajā aptaujā"
"Are you sure you want to delete it?","Vai esat pārliecināts, ka vēlaties to dzēst?"
"Assigned Answers","Piešķirtās Atbildes"
"Closed","Slēgts"
"Community Poll","Sabiedrības Aptauja"
"Date Closed","Slēgšanas Datums"
"Date Posted","Iesūtīšanas Datums"
"Delete","Izdzēst"
"Delete Answer","Dzēst Atbildi"
"Delete Poll","Dzēst Aptauju"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Edit Answer '%s'"
"Edit Poll '%s'","Edit Poll '%s'"
"Edit Poll Answer","Labot Aptaujas Atbildi"
"ID","ID"
"Invalid Answer","Nekorekta Atbilde"
"New Poll","Jauna Aptauja"
"Number of Responses","Aptaujāto Skaits"
"Open","Atvērt"
"Poll Answers","Aptaujas Atbildes"
"Poll Information","Aptaujas Informācija"
"Poll Manager","Aptaujas Pārvaldnieks"
"Poll Question","Aptaujas Jautājums"
"Poll information","Aptaujas Informācija"
"Poll not exists","Aptauja neeksistē"
"Poll with the same question","Aptauja ar to pašu jautājumu"
"Save Answer","Saglabāt Atbildi"
"Save Poll","Saglabāt Aptauju"
"Status","Statuss"
"Unable to find answer to delete.","Neizdevās atrast izdzēšamo atbildi"
"Visible In","Redzams Iekš"
"Vote","Balsot"
"Votes Count","Balsojumu Skaits"
"Votes Count:","Balsojumu Skaits:"
