"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s veiksmīgi pievienots jūsu vēlmju sarakstam. Klikšķis <a href=""%2$s"">šeit</a> , lai turpinātu iepirkšanos"
"%s's Wishlist","%s vēlmju saraksts"
"* Required Fields","* Obligāti aizpildāmie lauki"
"Add All to Cart","Ielikt visu pirkumu grozā"
"Add to Cart","Ielikt grozā"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Added On","Pievienota"
"Are You sure?","Are You sure?"
"Are you sure you want to remove this product from your wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo produktu no Vēlmju Saraksta?"
"Are you sure you would like to remove this item from the wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo priekšmetu no vēlmju saraksta?"
"Back","Atpakaļ"
"Can't save description %s","Nevar saglabāt aprakstu %s"
"Cannot create wishlist","Nevar izveidot vēlmju sarakstu"
"Cannot specify product","Nevar izvēlēt produktu"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Atzīmējiet šo izvēles rūtiņu, ja vēlaties pievienot rss barotnes saiti jūsu vēlmju sarakstam."
"Comment","Piezīme"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Email address can't be empty.","E-pasta adreses lauks nevar būt tukšs."
"Email addresses, separated by commas","E-pasta adreses (atdalītas ar komatiem)"
"Enabled","Atļauts"
"General Options","Vispārējās Izvēlnes"
"Go to Wishlist","Viss vēlmju saraksts"
"Last Added Items","Pēdējās ieliktās preces"
"Message","Ziņa"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Vēlmju saraksts (%d prece(s))"
"My Wishlist (%d items)","Vēlmju saraksts (%d prece(s))"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lūdzu ievadiet derīgas e-pasta adreses, atdalot tās ar komatiem. Piemēram: janis@domens.lv, peteris@domens.lv."
"Please, enter your comments...","Jūsu piezīmes par šo preci..."
"Product","Prece"
"RSS Feed","RSS Barotne"
"RSS link to %s's wishlist","RSS saite uz %s vēlmju sarakstu"
"Remove Item","Dzēst preci"
"Share Wishlist","Nosūtīt šo sarakstu"
"Share Your Wishlist","Dalīties jūsu vēlmēs"
"Share options","Izdalīšanas opcijas"
"Sharing Information","Izdalīšanas informācija"
"There was an error while adding item to wishlist.","Kļūda pievienojot preci vēlmju sarakstam."
"There was an error while adding item to wishlist: %s","Kļūda pievienojot %s vēlmju sarakstam."
"There was an error while deleting item from wishlist.","Kļūda dzēšot preci no vēlmju saraksta."
"There was an error while deleting item from wishlist: %s","Radās kļūda izņemot preci no Vēlmju Saraksta: %s"
"This product(s) is currently out of stock:","Šī produkcija šobrīd ir izpārdota:"
"Update Wishlist","Atjaunot vēlmju sarakstu"
"View Product","Apskatīt Preci"
"Wishlist","Vēlmju saraksts"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Vēlmju Saraksta Izdalīšana"
"Wishlist is empty now.","Vēlmju saraksts ir tukšs."
"You have no items in your wishlist.","Vēlmju saraksts ir tukšs."
"You input not valid email address.","Nepareizi norādīta e-pasta adrese."
"Your Wishlist was successfully shared","Jūsu Vēlmju saraksts ir veiksmīgi izdalīts koplietošanai"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Vēlmju saraksts"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
