"1 star","1 stjärna"
"2 stars","2 stjärnor"
"3 stars","3 stjärnor"
"4 stars","4 stjärnor"
"5 stars","5 stjärnor"
"Add New Rating","Skapa nytt betyg"
"Assigned Options","Tilldelade alternativ"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Default Value","Förvalt värde"
"Delete Rating","Ta bort betyg"
"Edit Rating","Ändra betyg"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Om du inte anger en betygstitel för en butik, så kommer det förvalda värdet att användas."
"Manage Ratings","Hantera betyg"
"New Rating","Nytt betyg"
"Option Label","Etikett för alternativ"
"Option Title","Titel för alternativ"
"Option Title:","Titel för alternativ:"
"Please select one of each ratings above","Vänligen välj ett av betygen ovan"
"Rating Information","Information om betyg"
"Rating Name","Betygsnamn"
"Rating Options","Alternativ för betyg"
"Rating Title","Titel för betyg"
"Rating Visibility","Synlighet för betyg"
"Rating isn't Available","Betyget är inte tillgängligt"
"Rating with the same title","Betyg med samma titel"
"Save Rating","Spara betyg"
"Visible In","Synligt i"
