"* Required Fields","* Obligatoriska fält"
"A new password was sent","Ett nytt lösenord har skickats"
"Account Dashboard","Kontoöversikt"
"Account Information","Kontoinformation"
"Account Sharing Options","Alternativ för delning av konto"
"Account information was successfully saved","Informationen för kontot har sparats"
"Action","Åtgärd"
"Add New Address","Lägg till ny adress"
"Add New Customer","Lägg till ny kund"
"Add New Customer Group","Lägg till ny kundgrupp"
"Added From","Tillagt Från"
"Additional Address Entries","Ytterligare adressposter"
"Address","Adress"
"Address Book","Adressuppgifter"
"Address Information","Adressinformation"
"Addresses","Adresser"
"Admin","Administratör"
"All","Alla"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"Always optional","Always optional"
"Amount","Belopp"
"Approved","Godkänd"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort denna artikel?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du inte vill lägga till denna adress?"
"Are you sure you want to delete this address?","Är du säker på att du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Array of Entity collections is expected","En vektor bestående av entitetssamlingar förväntas"
"Assign a customer group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Back to Login","Tillbaka till inloggningen"
"Bad request.","Bad request."
"Bill to Name","Fakturanamn"
"Billing Information","Fakturainformation"
"Bought From","Köpte från"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du registrerar dig som kund hos oss, kan du handla mycket smidigare, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"CSV","CSV"
"Can't save address","Kan inte spara adressen"
"Can't save customer","Kan inte spara kunden"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Avbryt"
"Change Account Password","Ändra kontolösenordet"
"Change Billing Address","Ändra fakturaadress"
"Change Password","Byt lösenord"
"Change Shipping Address","Ändra leveransadressen"
"City","Stad"
"Company","Företag"
"Config","Inställningar"
"Confirm New Password","Bekräfta nytt lösenord"
"Confirm Password","Bekräfta lösenord"
"Confirmation Link Email","Email bekräftelselänk"
"Confirmed","Bekräftad"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsätt handla"
"Country","Land"
"Create","Skapa"
"Create New Account Options","Alternativ för att skapa nytt konto"
"Create New Customer Account","Skapa nytt kundkonto"
"Create Order","Skapa beställning"
"Create an Account","Registrera dig som kund"
"Create customer","Skapa kund"
"Create customer address","Skapa kundadress"
"Current Password","Nuvarande lösenord"
"Customer","Kund"
"Customer Addresses","Kundadresser"
"Customer Api","Kund Api"
"Customer Configuration","Kundinställningar"
"Customer Group","Kundgrupp"
"Customer Group was successfully deleted","Kundgruppen har tagits bort"
"Customer Group was successfully saved","Kundgruppen har sparats"
"Customer Groups","Kundgrupper"
"Customer Information","Information om kunden"
"Customer Login","Logga in"
"Customer Since","Kund sedan"
"Customer View","Kundvy"
"Customer collection expected","Kundsamling förväntades"
"Customer doesn't have primary billing address","Kunden saknar förvald fakturaadress"
"Customer email already exists","Angiven e-post för kund finns redan"
"Customer website id must be specified, when using website scope.","När webbplatsnivå används måste kundwebbplatsid anges."
"Customers","Kunder"
"Customers Only","Endast kunder"
"Customers Section","Kundsektion"
"DD","DD"
"Date","Datum"
"Date Added","Lades till"
"Date of Birth","Födelsedatum"
"Date of Birth is required.","Födelsedatum är obligatorisk."
"Day","Dag"
"Days in Wishlist","Antal dagar i önskelistan"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Förvald fakturaadress"
"Default Email Domain","Förvald domän för e-post"
"Default Group","Förvald grupp"
"Default Shipping Address","Förvald leveransadress"
"Default Welcome Email","Förvald välkomstmail"
"Delete","Ta bort"
"Delete Address","Ta bort adress"
"Delete Customer","Ta bort kund"
"Delete Customer Group","Ta bort kundgrupp"
"Delete customer","Ta bort kund"
"Delete customer address","Ta bort kundadress"
"Deleted Stores","Ta bort butiker"
"Details","Detaljer"
