"# of Use","Använt antal"
"%1$s incl tax.","%1$s inkl moms.."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"(Copy data from: %s)","(Kopiera data från: %s)"
"(Will make search for the query above return results for this search.)","Innebär att sökningar på ovanstående sökord ger samma resultat som sökningar på detta."
"* Required Fields","* Obligatoriska fält"
"-- Please Select --","-- Vänligen välj --"
"A name is required","Ett namn är obligatoriskt"
"ALL GROUPS","ALLA GRUPPER"
"AM","AM"
"Action","Åtgärd"
"Add Attribute","Lägg till attribut"
"Add Design Change","Lägg till designändring"
"Add Group","Lägg till grupp"
"Add Items to Cart","Lägg produkter i varukorgen"
"Add New","Lägg till ny"
"Add New Attribute","Lägg till nytt attribut"
"Add New Attribute Set","Lägg till ny attributmängd"
"Add New Group","Lägg till ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Lätt till nytt val"
"Add New Row","Lägg till ny rad"
"Add New Search Term","Lägg till ny sökterm"
"Add New Set","Lägg till ny mängd"
"Add Option","Lägg till alternativ"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Add Root Category","Lägg till rotkategori"
"Add Subcategory","Lägg till underkategori"
"Add Tax","Lägg till skatt"
"Add Tier","Lägg till nivå"
"Add to Cart","Lägg i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to My Wishlist","Lägg till i min önskelista"
"Add to Wishlist","Lägg till i önskelista"
"Additional Information","Mer information"
"All","Alla"
"All Product Types","Alla produkttyper"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alla produkter tillhörande denna mängd kommer tas bort! Är du säker att du vill ta bort denna attributmängd?"
"Allow HTML-tags on Front-end","Tillåt HTML-taggar på framsidan"
"Allowed File Extensions","Tillåtna filtyper"
"Allowed file extensions to upload","Tillåtna filtyper för uppladdning"
"Amount","Summa"
"Apply To","Tillämpa på"
"Apply To Configurable/Grouped Product","Tillämpa på konfigurerbar/grupperad produkt"
"Approved","Godkänd"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Are you sure you would like to remove all products from your comparison?","Är du säker på att du vill ta bort alla produkter från jämförelsen?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"Are you sure?","Är du säker?"
"As low as:","Så lågt som:"
"Assign","Tilldela"
"Assign product link","Tilldela produktlänk"
"Assign product to category","Tilldela produkt till kategori"
"Assigned Products","Tilldelade produkter"
"Associated Products","Relaterade produkter"
"Attrib. Set Name","Namn för attributmängd"
"Attribute Code","Attributkod"
"Attribute Information","Information om attribut"
"Attribute Label","Attributetikett"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributnamn:"
"Attribute Properties","Attributegenskaper"
"Attribute Set","Attributmängd"
"Attribute group with the ""/name/"" name already exists","Attributgrupp med detta ""/name/"" namn finns redan"
"Attribute model not defined","Attributmodell har inte definierats"
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Attributes","Attribut"
"Attrribute names can be specified per store.","Attributnamn kan specificeras per butik."
"Autogenerate","Autogenerera"
"Availability","Tillgänglighet"
"Availability: In stock.","Lagersaldo: Finns i lager."
"Availability: Out of stock.","Lagersaldo: Ej i lager."
"Back","Tillbaka"
"Backend Model","Modell för administrationsdelen"
"Backend Table","Tabell för administrationsdelen"
"Backend Table Title","Tabelltitel för administrationsdelen"
"Backorders","Utestående beställningar"
"Base directory to upload image file is not specified","Baskatalog för uppladdning av bildfiler har inte angetts"
"Based On","Baserad på"
"Best Value","Placering"
"Block after Info Column","Block efter Infokolumn"
"Bottom/Left","Nedre del/Vänster"
"Bottom/Right","Nedre del/Höger"
"Browse By","Bläddra utifrån"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl moms) per st"
"Buy %1$s for %2$s each","Köp %1$s för %2$s per st"
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny, flerval eller pris"
"Can't create image.","Kan inte skapa bild."
"Cannot create writeable directory '%s'","Kan inte skapa skrivbar mapp '%s'"
"Cart Item Attribute","Attribut för artikel i kundkorg"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Indatatyp för butiksägare"
"Catalog Price Scope","Omfång för katalogpris"
"Catalog Section","Katalogdel"
"Catalog, Search","Katalog, sök"
"Categories","Kategorier"
"Categories Sitemap","Webbkarta för kategorier"
"Category","Kategori"
"Category API","Kategory API"
"Category Data","Kategoridata"
"Category Navigation:","Navigation för kategori:"
"Category Products","Produkter i kategori"
"Category Top Navigation","Kategorier toppnavigering"
"Category URL Suffix","Kategori-URL suffix"
"Category attributes API","Kategoriattribut API"
"Category delete error","Fel uppstod vid borttagning av kategori"
"Category deleted","Kategorin har tagits bort"
"Category move error","Fel uppstod när kategorin skulle flyttas"
"Category must be instance of Mage_Catalog_Model_Category","Kategori måste vara instans av Mage_Catalog_Model_Category"
"Category saved","Kategorin har sparats"
"Change","Ändra"
"Change or Retrieve attribute store view","Ändra eller hämta attributbutiksvy"
"Change status","Ändra status"
"Check items to add to the cart or","Markera artiklar att lägga i varukorg eller"
"Choose an Option...","Välj ett alternativ..."
"Choose option...","Välj alternativ..."
"Clear All","Avmarkera alla"
"Clear All Items","Ta bort alla artiklar"
"Close Window","Stäng fönstret"
"Collapse All","Fäll ihop alla"
"Comparable","Jämförbar"
"Comparable on Front-end","Jämförbar i kunddelen"
"Compare Items","Jämför artiklar"
"Compare Products","Jämför produkter"
"Compare Products (%d)","Jämför produkter (%d)"
"Compare Products - %d Items","Jämför %d produkter"
"Compare Products List","Lista över produktjämförelser"
"Compare list successfully cleared","Jämförelselistan har rensats"
"Conditions Combination","Kombinera villkor"
"Configurable Product","Konfigurerbar produkt"
"Configurable Product Settings","Inställningar för konfigurerbar produkt"
"Continue","Fortsätt"
"Copy From Configurable","Kopiera från konfigurerbar"
"Country/State","Land/Region"
"Create","Skapa"
"Create (Upload)","Skapa (Ladda upp)"
"Create Empty","Skapa tom"
"Create Product Settings","Inställningar för att skapa produkt"
"Create Simple Associated Product","Skapa enkel relaterad produkt"
"Create new category","Skapa ny kategori"
"Create new product","Skapa ny produkt"
"Cross-sells","Korsförsäljning"
"Currently Shopping by","Handlar för närvarande utifrån"
"Custom Design","Anpassad design"
"Custom Options","Anpassade val"
"Customer Group","Kundgrupp"
"Customers Reviews","Kunders recensioner"
"Customers Tagged Product","Kunders uppmärkta produkter"
"Customers for alert %s was successfuly added to queue","Kunder har lagts till i kön för bevakningen %s"
"Data Type for Saving in Database","Datatyp för sparningar i databas"
"Date","Datum"
"Date & Time Custom Options","Datum & Tid för anpassade val"
"Date Subscribed","Prenumeration påbörjades"
