"Action","Åtgärd"
"All types","Alla typer"
"Backup file ""%s"" can't read or write","Säkerhetskopia ""%s"" kan ej skriva eller läsa"
"Backup file ""%s"" doesn't exist","Säkerhetskopia ""%s"" existerar inte"
"Backup file doesn't exist","Säkerhetskopia existerar inte"
"Backup file handler don't specify","Säkerhetskopians hanterar specifieras inte"
"Backup file path don't specify","Säkerhetskopians adress specificeras inte"
"Backups","Säkerhetskopior"
"Cannot read backup file","Kan inte läsa säkerhetskopia"
"Create Backup","Skapa säkerhetskopia"
"DB","DB"
"Database was successfuly backed up.","Databasen säkerhetskopierades."
"Download","Ladda ner"
"Error write to Backup file ""%s""","Det uppstod ett fel vid skrivning till säkerhetskopia ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Filen är komprimerad med Zlib men tyvärr finns inte Zlib installerad på servern"
"Size, byte","Size, byte"
"Time","Tid"
"Type","Typ"
"Unable to create backup. Please, try again later.","Det gick inte att skapa säkerhetskopia. Vänligen försök senare."
"Wrong order of creation for new backup","Felaktig skapelseordning för ny säkerhetskopia"
