"Actions","Åtgärder"
"Are you sure?","Är du säker?"
"Date Added","Tillagd"
"Error while marking as read. Please try again later.","Ett fel inträffade när posten skulle markeras som läst. Vänligen försök igen senare."
"Error while marking. Please try again later.","Ett fel inträffade när posten skulle markeras. Vänligen försök igen senare."
"Error while removing. Please try again later.","Ett fel inträffade när posten skulle markeras. Vänligen försök igen senare."
"Last update","Senaste uppdatering"
"Mark as Read","Markera som läst"
"Mark as read","Markera som läst"
"Message","Meddelande"
"Message was successfully marked as read","Meddelandet har markerats som läst"
"Message was successfully removed","Meddelandet har tagits bort"
"Messages Inbox","Inkorg för meddelanden"
"Notifications","Meddelanden"
"Please select messages","Vänligen välj meddelanden"
"Read Details","Läs detaljer"
"Remove","Ta bort"
"Severity","Risknivå"
"Show List","Visa lista"
"Show Toolbar","Visa verktygsfält"
"Total of %d record(s) were successfully marked as read","%d post(er) har markerats som lästa"
"Total of %d record(s) were successfully removed","%d post(er) har tagits bort"
"Unable to proceed. Please, try again","Det gick inte att utföra åtgärden. Vänligen försök igen."
"Update frequency","Uppdateringsfrekvens"
"Use HTTPS to get feed","Använd HTTPS för att hämta RSS-flödet"
"critical","kritisk"
"major","större"
"minor","mindre"
"notice","notis"
