" and ","och"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolut sökväg eller sökväg relativ till Magentos installationsrot, t.ex. var/export)"
"(For US 2-letter state names)","(För stater i USA med 2-bokstavsnamn)"
"(If left empty will be auto-generated)","(autogenereras om den inte anges)"
"(Leave empty for first spreadsheet)","(Lämnas tomt för första kalkylbladet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Om 'store' kolumnen är tom eller saknas i importfilen, så kommer produkter att läggas till eller uppdateras i butiken)"
"(Shift-)Click or drag to change value","(Shift-)Klicka eller drag för att ändra värdet"
"(Starting with)","(Börja med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Om värdet är ""Nej"", så kommer endast kopplade fält att importeras. För kopplingar, använd 'kolumn1', 'kolumn2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Innan du ändrar detta värde, öka värdet för PHP:s memory_limit)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Klicka på en tidsdel för att öka den"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll ner musknappen på ovanstående knappar för snabbare markering."
"- Use the %s buttons to select month","- Använd %s knapparna för att välja månad"
"- Use the %s, %s buttons to select year","- Använd knapparna %s, %s för att välja år"
"- or Shift-click to decrease it","- eller skift-klicka för att minska"
"- or click and drag for faster selection.","- eller klicka och drag för snabbare markering"
"API:","API:"
"About the calendar","Om kalendern"
"Access Denied.","Åtkomst nekades"
"Account Created in:","Kontot skapades:"
"Account Created on (%s):","Kontot skapdes (%s):"
"Account Created on:","Kontot skapades:"
"Action","Åtgärd"
"Actions","Åtgärder"
"Add","Lägg till"
"Add Contents Path","Lägg till sökväg till innehåll"
"Add Field with URL:","Lägg till fält med URL:"
"Add Maintainer","Lägg till underhållare"
"Add New Role","Lägg till ny roll"
"Add New Template","Lägg till ny mall"
"Add New User","Lägg till ny användare"
"Add PHP Extension dependency","Lägg till PHP-modulsberoende"
"Add Package dependency","Lägg till paketberoende"
"Add Subpackage dependency","Lägg till underpaketsberoende"
"Add new store view map","Lägg till ny butiksvykarta"
"Add new website map","Lägg till ny webbplatskarta"
"Address Type:","Adresstyp:"
"All","Alla"
"All Websites","Alla webbplatser"
"All fields","Alla fält"
"Archive file name:","Filnamn för arkiv:"
"Are you sure that you want to delete this template?","Vill du verkligen ta bort denna mall?"
"Are you sure that you want to strip tags?","Vill du verkligen ta bort taggar?"
"Attribute Set Name:","Namn för attributmängd:"
"Attributes","Attribut"
"Available Products","Tillgängliga produkter"
"Big Image","Stor bild"
"Billing Address","Faktureringsadress"
"Bundle Items","Paketartiklar"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paket med dynamisk prissättning kan inte ha skräddarsydda alternativ. Alternativen kommer därför inte att sparas."
"CSV / Tab separated","CSV/Tabbseparerat"
"Card Verification Number","CVV/CVC-kod"
"Catalog","Katalog"
"Channel","Kanal"
"Channel:","Kanal:"
"Choose Store View","Välj butiksvy"
"Client Session timeout (sec.)","Timeout-tid (i sek.) för klientsessioner"
"Close","Stäng"
"Comments History","Kommentarhistorik"
"Confirmed email:","Bekräftad e-post:"
"Connect with the Magento Community","Besök Magento-community"
"Contents","Innehåll"
"Country:","Land:"
"Create New Staging Store View","Skapa en ny staging webbplats"
"Create a backup","Skapa säkerhetskopia"
"Created <strong>%s</strong> items","Skapade <strong>%s</strong> produkter"
"Credit Card Number","Kortnummer"
"Credit Card Number: xxxx-%s","Kortnummer: xxxx-%s"
"Credit Card Type","Typ av betalkort"
"Credit Card Type: %s","Typ av betalkort: %s"
"Credit Memo History","Historik för kreditfakturor"
"Credit Memo Totals","Totalsumma för kreditfakturor"
"Current Configuration Scope:","Aktuell konfigurationsomfång:"
"Current Release Information","Aktuell versionsinformation"
"Custom","Anpassad"
"Customer Group:","Kundgrupp:"
"Customer Since:","Kund sedan:"
"Customers","Kunder"
"DHTML Date/Time Selector","DHTML datum/tid-väljare"
"Dashboard","Instrumentpanelen"
"Data Format","Datumformat"
"Data transfer:","Dataöverföring:"
"Date selection:","Dataurval:"
"Date selector","Datumväljare"
"Date:","Datum:"
"Decimal separator:","Decimaltecken:"
"Default (Admin) Values","Standardvärden (admin)"
"Default Values","Standardvärden"
"Delete","Ta bort"
"Dependencies","Beroenden"
"Description:","Beskrivning:"
"Direction:","Riktning:"
"Display %s first","Visa %s först"
"Distributed under GNU LGPL. See %s for details.","Distribueras under GNU LGPL-licensen. See %s för detaljer."
"Done By:","Utfördes av:"
"Done by:","Utfördes av:"
"Download Remote File","Ladda ner fjärrfil"
"Drag to move","Drag för att flytta"
"Edit Role","Ändra roll"
"Edit User '%s'","Ändra användaren '%s'"
"Email","E-post"
"Email Preview","Förhandsgranska e-post"
"Email:","E-post:"
"Enclose Values In:","Omge värden med:"
"Entity type:","Entitetstyp:"
"Excl. Tax","Exkl. moms"
"Exclude","Exkludera"
"Expiration Date","Utgångsdatum"
"Expiration Date: %s/%s","Utgångsdatum: %s/%s"
"Export","Exportera"
"Export Filters","Exportfilter"
"Export to:","Exportera till:"
"Export:","Exportera:"
"Extension","Tillägg"
"Extensions","Tillägg"
"FTP Host[:Port]","FTP Värd[:Port]"
"Field Mapping","Koppla fält"
"File Information","Filinformation"
"File name:","Filnamn:"
"Final Price","Slutpris"
"Finished items creation.","Produktskapande slutfördes."
"First Name:","Förnamn:"
"For latest version visit: %s","För senaste versionen besök: %s"
"From","Från"
"General Settings","Generalla inställningar"
"Get help for this page","Få hjälp med denna sida"
"Global Record Search","Global sökning"
"Go Today","Gå idag"
"Google Base Items","Google Base-poster"
"Group:","Grupp:"
"Help Us Keep Magento Healthy - Report All Bugs","Hjälp till att utveckla Magento - rapportera buggar"
"Ignore","Ignorera"
"Images","Bilder"
"Import","Importera"
"Import Service","Importtjänst"
"In Database:","I databas:"
"In File:","I fil:"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. moms"
"Include","Inkludera"
"Installed As","Installerad som"
"Interactive","Interaktiv"
"Interface Locale: %s","Gränssnittsspråk: %s"
"Invalid webservice adapter specified","Ogiltig webbtjänstadapter har angivits"
"Invalid webservice handler specified","Ogiltig webbtjänst-handler har angivits"
"Invoice History","Fakturahistorik"
"Invoice Totals","Totalsumma för faktura"
"Issue Number","Nummer"
"Issuer: %s","Utfärdad av: %s"
"Items to merge","Artiklar att sammanfoga"
"Last 5 Orders","Senaste 5 order"
"Last 5 Search Terms","Senaste 5 sökord"
"Last Logged In (%s):","Senaste inloggning: %s"
"Last Logged In:","Senaste inloggning:"
"Last Name:","Efternamn:"
"Latest Message:","Senaste meddelande:"
"Leave empty to use tax identifier","Lämna tomt för att använda momsidentifierare"
"Level","Nivå"
"License:","Licens:"
"Loading...","Laddar..."
"Local Server","Lokalserver"
"Local/Remote Server","Lokal-/fjärrserver"
"Log Out","Logga ut"
"Logged in as %s","Inloggad som %s"
