"Action","Åtgärd"
"Add Sitemap","Lägg till sidkarta"
"Always","Alltid"
"CMS Pages Options","Alternativ för CMS-sidor"
"Categories Options","Alternativ för kategorier"
"Daily","Dagligen"
"Edit Sitemap","Ändra på sidkartan"
"Enabled","Aktiverad"
"Error Email Recipient","Mottagare av felmeddelande via e-post"
"Error Email Sender","Avsändare av felmeddelande via e-post"
"Error Email Template","Mall för felmeddelande via e-post"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Filnamn"
"Frequency","Frekvens"
"Generate","Generate"
"Generation Settings","Inställningar för skapande av sidkarta"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Timvis"
"ID","ID"
"Last Time Generated","Skapades senast"
"Link for Google","Länk till Google"
"Monthly","Månadsvis"
"Never","Aldrig"
"New Sitemap","Ny sidkarta"
"Path","Sökväg"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Prioritet"
"Priority must be between 0 and 1","Värdet för prioritering måste vara mellan 0 och 1"
"Products Options","Alternativ för produkt"
"Sitemap","Webbkarta"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Varningar för skapande av webbkarta"
"Sitemap was successfully deleted","Webbkartan har tagits bort"
"Sitemap was successfully saved","Webbkartan har sparats"
"Start Time","Starttid"
"Store View","Butiksvy"
"This sitemap no longer exists","Denna sidkarta finns inte längre"
"Unable to find a sitemap to delete","Det gick inte att ta bort sidkartan då den inte kunde hittas"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","Veckovis"
"Yearly","Årligen"
