"%s was successfully added to your shopping cart.","%s placerades i din varukorg."
"&laquo; Back to Billing Information","Tillbaka till fakturainformation"
"&laquo; Back to Select Addresses","&laquo; Tillbaka till val av adress"
"&laquo; Back to Shopping Cart","&laquo; Tillbaka till varukorg"
"* Required Fields","* Obligatoriska fält"
"Add New Address","Lägg till ny adress"
"Add New Condition","Lägg till ny förutsättning"
"Add to Cart","Lägg till i varukorg"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"Address","Adress"
"Address %s of %s","Adress %s av %s"
"After adding a product redirect to shopping cart","Efter att en produkt har lagts till, omdirigera till varukorg"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Already registered?","Redan registrerad?"
"An error occurred in the process of payment","Ett fel uppstod i betalningsprocessen"
"Apply Coupon","Använd kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna produkt från varukorgen?"
"Back","Tillbaka"
"Back to Shipping Information","Tillbaka till leveransinformation"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Billing Address","Fakturaadress"
"Billing Information","Fakturaadress"
"Billing Information - %s","Faktura information - %s"
"Can not add item to shopping cart","Det gick inte att lägga produkten i varukorgen"
"Can not apply coupon code.","Det gick inte att använda kupongkoden."
"Can't open overview page","Kan inte öppna översiktssida"
"Cancel Coupon","Använd inte kupong"
"Cannot remove item","Det gick inte att ta bort produkten"
"Cannot update shopping cart","Det gick inte att uppdatera varukorgen"
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"Cart Subtotal:","Totalt:"
"Change","Ändra"
"Change Billing Address","Ändra fakturaadress"
"Checkbox text","Checkbox text"
"Checkout","Till kassan"
"Checkout Conditions","Kassavillkor"
"Checkout Options","Alternativ för kassa"
"Checkout Section","Kassadel"
"Checkout Terms and Conditions","Köpvillkor kassa"
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Checkout method","Välj köpmetod"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"City","Stad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%s"" onclick=""this.target='_blank'"">här</a> för att skriva ut din orderbekräftelse."
"Close","Stäng"
"Company","Företag"
"Condition Name","Villkorsnamn"
"Condition was successfully deleted","Villkoret togs bort"
"Condition was successfully saved","Villkoret sparades"
"Configurable product image","Bild för konfigurerbar produkt"
"Confirm Password","Bekräfta lösenord"
"Content","Innehåll"
"Content Height","Innehåll höjd"
"Content Height (css)","Innehåll höjd (css)"
"Continue","Nästa"
"Continue Shopping","Fortsätt handla"
"Continue to Billing Information","Fortsätt till fakturainformation"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kupongkoden ""%s"" är inte giltig."
"Coupon code ""%s"" was applied successfully.","kupongkoden ""%s"" applicerades."
"Coupon code was canceled successfully.","Kupongkoden kommer inte att användas."
"Create Billing Address","Skapa fakturaadress"
"Create Shipping Address","Skapa en leveransadress"
"Customer Address is not valid.","Kundadressen är ej giltig."
"Data saving problem","Ett fel uppstod när data skulle sparas"
"Default Billing","Förvald fakturaadress"
"Default Shipping","Förvald frakt"
"Delete Condition","Ta bort villkor"
"Details","Detaljer"
"Disable Onepage Checkout","Inaktivera ensides kassa"
"Disabled","Inaktiverad"
"Discount Codes","Rabattkoder"
"Display Cart Summary","Visa sammanfattning av varukorg"
"Display Shopping Cart Sidebar","Visa miniatyrvarukorg"
"Display item quantities","Visa antal artiklar"
"Display number of items in cart","Visa antal artiklar i varukorg"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Edit","Ändra"
"Edit Address","Ändra adress"
"Edit Billing Address","Ändra fakturaadress"
"Edit Items","Ändra artiklar"
"Edit Shipping Address","Ändra leveransadress"
"Edit Terms and Conditions","Ändra köpvillkor"
"Edit Your Cart","Ändra i din varukorg"
"Email Address","E-postadress"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Aktiverad"
"Enter a New Address","Ange en ny adress"
"Enter your coupon code if you have one.","Ange din rabattkod om du har någon."
"Enter your destination to get a shipping estimate.","Välj destination för att få en uppskattad fraktkostnad."
"Error while deleting this condition. Please try again later.","Ett fel uppstod vid radering av detta villkor. Vänligen försök igen senare."
"Error while saving this condition. Please try again later.","Ett fel uppstod vid sparande av detta villkor. Vänligen försök igen senare."
"Estimate Shipping and Tax","Beräkna frakt och moms"
"Excl. Tax","Exkl moms"
"Fast and easy check out","Gå till snabbkassan"
"Fax","Fax"
"Forgot an Item?","Glömt en produkt?"
"Forgot your password?","Glömt ditt lösenord?"
"Get a Quote","Beräkna"
"Grand Total:","Totalsumma:"
"Grouped product image","Bild för grupperad produkt"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl moms"
"Invalid data","Ogiltig data"
"Invalid email address ""%s""","Ogiltig epostadress ""%s"""
"Invalid shipping method.","Ogiltigt leveranssätt."
"Items","Produkter"
