"API Login ID","Inloggningsnamn för API"
"Authorize Only","Endast auktorisering"
"Authorize and Capture","Auktorisera och debitera"
"Authorize.net","Authorize.net"
"Credit Card Types","Bankkortstyper"
"Credit Card Verification","Verifiering av bankkort"
"Debug","Avlusa"
"Email customer","E-posta kund"
"Enabled","Aktiverad"
"Error in authorizing the payment","Ett fel uppstod när betalningen skulle auktoriseras"
"Error in capturing the payment","Ett fel uppstod när betalningen skulle fångas"
"Error in payment gateway","Ett fel uppstod med betalningsgateway"
"Error in refunding the payment","Ett fel uppstod vid återköp av betalning"
"Error in refunding the payment.","Ett fel uppstod vid återköp av betalning."
"Error in retrieving the transaction","Ett fel uppstod när transkationen skulle hämtas"
"Fraud order status","Status för falska beställningar"
"Gateway request error: %s","Ett fel uppstod vid begäran till gateway: %s"
"Invalid amount for authorization","Ogiltigt belopp för auktorisering"
"Invalid amount for authorization.","Ogiltigt belopp för auktorisering."
"Invalid transaction id","Ogiltigt transaktionsid"
"Maximum Order Total","Största orderbelopp."
"Merchant Login","Inloggning för handlare"
"Merchant's email","E-post för handlare"
"Minimum Order Total","Minsta orderbelopp"
"New order status","Ändrat status för beställning"
"Partner","Partner"
"Password","Lösenord"
"Payflow Pro","Payflow Pro"
"Payment Action","Betalningsåtgärd"
"Payment authorization error.","Ett fel uppstod vid auktorisering av betalning."
"Payment authorization transaction has been declined.","Transaktion för auktorisering av betalning har nekats."
"Payment from Specific countries","Betalning från särskilda länder"
"Payment from applicable countries","Betalning från godkända länder"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Sortering"
"TENDER","ANBUD"
"Test mode","Testläge"
"Title","Titel"
"Transaction key","Transaktionsnyckel"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Användare"
"VERBOSITY","DETALJRIKEDOM"
"Voided transaction","Annullerad transaktion"
