"%s was successfully added to your shopping cart.","Le produit %s a bien été ajouté à votre panier."
"&laquo; Back to Billing Information","&laquo; Retour aux informations de facturation"
"&laquo; Back to Select Addresses","&laquo; Retour à la sélection d'adresses"
"&laquo; Back to Shopping Cart","&laquo; Retour au panier"
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Condition","Ajouter une condition"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After adding a product redirect to shopping cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Vous avez déjà un compte?"
"An error occurred in the process of payment","Une erreur est survenue dans le process de paiement"
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr de vouloir retirer cet article du panier ?"
"Back","Retour"
"Back to Shipping Information","Retour aux informations de livraison"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, les articles suivants pourraient vous intéresser :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Can not add item to shopping cart","Impossible d'ajouter l'article au panier"
"Can not apply coupon code.","Impossible d'appliquer le code de réduction."
"Can't open overview page","Impossible d'ouvrir la page de vue d'ensemble"
"Cancel Coupon","Annuler le bon de réduction"
"Cannot remove item","Impossible de retirer l'article"
"Cannot update shopping cart","Impossible de mettre à jour le panier"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Subtotal:","Sous-total du panier :"
"Change","Modifier"
"Change Billing Address","Modifier l'adresse de facturation"
"Checkbox text","Texte de la case à cocher"
"Checkout","Régler mes achats"
"Checkout Conditions","Conditions de commande"
"Checkout Options","Options de règlement"
"Checkout Section","Section règlement"
"Checkout Terms and Conditions","Conditions générales de ventes"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer"
"Checkout method","Mode de passage de commande"
"Checkout with Multiple Addresses","Livrer à plusieurs adresses"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de la confirmation de votre commande."
"Close","Fermer"
"Company","Société"
"Condition Name","Nom de la condition"
"Condition was successfully deleted","La condition a été effacée avec succès !"
"Condition was successfully saved","La condition a été sauvegardée avec succès !"
"Configurable product image","Image du produit configurable"
"Confirm Password","Confirmer le mot de passe"
"Content","Contenu"
"Content Height","Hauteur du contenu"
