"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Administrator","Administrateur"
"All Reviews","Tous les commentaires"
"All reviews of customer `%s`","Tous les commentaires du client '%s'"
"Allow guests to write reviews","Autoriser les invités à écrire des commentaires"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure?","En êtes-vous sûr ?"
"Average Customer Rating","Note moyenne"
"Average Customer Rating:","Note moyenne des clients :"
"Back","Retour"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Created On","Créé le"
"Customer","Client"
"Customer Reviews","Commentaires des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle note donneriez-vous à ce produit ?"
"ID","ID"
"Manage Ratings","Gérer les notations"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires :"
"Name","Nom"
"Name In Store","Nom dans le magasin."
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"Pending Reviews","Commentaires en attente"
"Pending reviews","Commentaires en attente"
"Pending reviews of customer `%s`","Commentaires en attente du client '%s'"
"Please select a product","Sélectionnez un produit"
"Please select one of each of the ratings above","Sélectionnez une notation de chaque parmi les suivantes"
"Posted By","Posté par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom produit"
"Product Rating","Notation du produit"
"Product Rating:","Note du produit :"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s) :"
"Product Reviews","Commentaires"
"Product SKU","SKU produit"
"Qty","Quantité"
"Rating:","Note :"
"Review","Commentaire"
"Review Details","Détail du commentaire"
"Review by %s","par <em>%s</em>"
"Reviews and Ratings","Commentaires et notations"
"SKU","SKU"
"Save Review","Sauvegarder le commentaire"
"Status","Statut"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des notations"
"Summary of Review","Sommaire des commentaires"
"Summary of Your Review","Résumé de votre commentaire"
"Summary of review","Sommaire des commentaires"
"Title","Titre"
"Type","Type"
"Unable to post review. Please, try again later.","Impossible de poster le commentaire. Veuillez réessayer ultérieurement."
"Update status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Sites web"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"You're reviewing: %s","Vous commentez : %s"
"Your Rating:","Votre note :"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s) :"
"Your review has been accepted for moderation","Votre commentaire a été accepté pour modération"
"OR","OU"
"My Product Reviews","My Product Reviews"
