"--Please Select--","--Votre choix--"
"<label>Make Check payable to:</label> %s","<label>Chèque libellé à l'ordre de :</label> %s"
"<label>Make Check payable to</label>: %s","<label>Chèque libellé à l'ordre de</label> : %s"
"Automatically invoice all items","Facturer automatiquement tous les articles"
"Can not configuration for payment method with code: %s","Récupération impossible de la configuration pour le mode de paiement avec le code : %s"
"Can not retrieve payment info model object.","Récupération impossible de l'objet modèle d'information de paiement"
"Can not retrieve payment method instance","Récupération impossible de l'instance de mode de paiement"
"Can not retrieve payment method model object.","Récupération impossible de l'objet modèle de mode de paiement"
"Card Verification Number","Numéro de vérification"
"Check / Money order","Chèque / Mandat"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: %s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Make Check payable to","Chèque libellé à l'ordre de"
"Make Check payable to: %s","Chèque libellé à l'ordre de : %s"
"Maximum Order Total","Montant maxi de commande"
"Minimum Order Total","Montant mini de commande"
"Month","Mois"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New order status","Statut d'une nouvelle commande"
"Payment Methods","Modes de paiement"
"Payment Methods Section","Section modes de paiement"
"Payment from Specific countries","Paiement depuis certains pays"
"Payment from applicable countries","Paiement depuis les pays applicables"
"Purchase Order Number","Numéro d'achat"
"Purchase Order Number: %s","<strong>Numéro de commande :</strong> <span class=""nowrap"">%s</span>"
"Purchase order","Bon de commande"
"Saved CC","Carte de paiement enregistrée"
"Send Check to","Envoyer le chèque à"
"Send Check to:","Envoyer le chèque à :"
"Sort order","Ordre de tri"
"Title","Titre"
"What is this?","Aide ?"
"Year","Année"
"Zero Subtotal Checkout","Règlement d'un sous-total nul"
