"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Add","Ajouter"
"Apply","Appliquer"
"Description: %s","Description : %s"
"Expire at: %s","Expire le : %s"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"Invalid discount amount.","Montant de remise invalide."
"MATCHING ALL","QUI VÉRIFIENT TOUTES"
"MATCHING ANY","QUI VÉRIFIENT UNE DE"
"NOT MATCHING ALL","QUI NE VÉRIFIENT PAS TOUTES"
"NOT MATCHING ANY","QUI NE VÉRIFIENT PAS UNE DE"
"Name: %s","Nom : %s"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Débute le : %s"
"TRUE","VRAIES"
"by","sur"
"contains","contient"
"does not contain","ne contient pas"
"equals or greater than","est supérieur ou égal à"
"equals or less than","est inférieur ou égal à"
"greater than","est supérieur à"
"is","égale"
"is not","est différent de"
"is not one of","ne fait pas partie de"
"is one of","fait partie de"
"less than","est inférieur à"
"to","à"
