"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Lien</a>"
"Access denied to destination folder ""%s""","Accès refusé au répertoire ""%s"""
"Could not load file: ""%s""","Impossible de charger le fichier : ""%s"""
"Could not save file: %s","Impossible de sauvegarder le fichier : %s"
"Declared adapter %s not found","Impossible de trouver l'adapter déclaré : %s"
"Destination folder ""%s"" does not exist or not access to create","Le répertoire de destination ""%s"" n'existe pas ou ne peut pas être créé"
"Destination folder ""%s"" is not a directory","Le répertoire de destination ""%s"" n'est pas un répertoire"
"Destination folder ""%s"" is not a writeable","Le répertoire de destination ""%s"" n'a pas le droit d'écriture"
"Done","Terminé"
"Dry run set, stopping execution","Test paramétré, exécution en cours d'arrêt"
"ETA: %s","Durée estimée : %s"
"Error field mapping! Fields list for mapping is not defined","Erreur dans le mapping de champs ! La liste des champs n'est pas définie"
"Error occured during file opening: ""%s""","Erreur lors de l'ouverture du fichier : ""%s"""
"File ""%s"" don't exist","Le fichier ""%s"" n'existe pas"
"Found %d rows","%d lignes trouvées"
"Less than a minute","Moins d'une minute"
"Loaded successfully: ""%s""","""%s"" a bien été chargé"
"Memory Used: %s","Mémoire utilisée : %s"
"Method ""%s"" not defined in adapter %s","Méthode ""%s"" non définie dans l'adapter %s"
"Please declare ""adapter"" and ""method"" node first","Veuillez d'abord déclarer l'adapter et la méthode"
"Processed records: %s","Enregistrements traités : %s"
"Saved successfully: ""%s"" [%d byte(s)]","Sauvegardé : ""%s"" [%d octet(s)]"
"Sheet 1","Feuille 1"
"Skip undefined row","Ligne non définie ignorée"
"Starting %s :: %s","Début %s : : %s"
"Total records: %s","Total d'enregistrements : %s"
"hour","heure"
"hours","heures"
"minute","minute"
"minutes","minutes"
