"Add New Row","Ajouter une ligne"
"An error occurred while saving the file(s).","Une erreur est survenue pendant l'enregistrement des fichiers."
"Availability: In stock.","Disponibilité : en stock."
"Availability: Out of stock.","Disponibilité : épuisé."
"Back","Retour"
"Can't connect to remote host, error: %s","Impossible de se connecter au serveur distant. Erreur : %s"
"Canceled","Annulé"
"Date","Date"
"Default Link Title","Titre de lien par défaut"
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut"
"Default Sample Title","Titre de l'exemple par défaut"
"Disable Guest Checkout if cart contains downloadable items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables"
"Downloadable Information","Informations téléchargements"
"Downloadable Product","Produit téléchargeable"
"Downloadable Product Options","Options du produit téléchargeable"
"Downloadable product Section","Section du produit téléchargeable"
"Excl. Tax","HT"
"File","Fichier"
"File does not exists","Le fichier n'existe pas"
"From:","De :"
"Gift Message","Message cadeau"
"Go to <a href=""%s"">My Downloadable Products</a>","Aller à <a href=""%s"">Mes produits téléchargeables</a>"
"Guest checkout will only work with shareable","Le règlement en tant qu'invité fonctionnera seulement avec les produits partageables"
"Incl. Tax","TTC"
"Invalid download URL host","URL serveur incorrecte pour le téléchargement"
"Invalid download URL scheme","Le format de l'URL de téléchargement est non valide"
"Invalid download link type","Type de lien de téléchargement non valide"
"Invoiced","Facturé"
"Link has expired.","Le lien a expiré"
"Link is not available.","Lien non disponible."
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"Max. Downloads","Téléchargements max."
"Message:","Message :"
"My Downloadable Products","Mes produits téléchargeables"
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre"
"Order #","N° de commande"
"Order Item Status to enable Downloads","Statut de l'article commandé pour permettre le téléchargement"
"Ordered","Commandé"
"Pending","En attente"
"Please log in to download your product.","Veuillez vous connecter pour pouvoir télécharger votre produit."
"Please set resource file and link type","Renseignez le fichier de ressource et le type de lien"
"Please specify product link(s).","Spécifiez le ou les liens des produits"
"Price","Prix"
"Refunded","Remboursé"
"Remaining Downloads","Téléchargements restants"
"Remove item","Supprimer l'article"
"Requested link doesn't exist.","Le lien demandé n'existe pas"
"Sample","Exemple "
"Shareable","Partage"
"Shipped","Expédié"
"Sorry, the was an error getting requested content. Please contact store owner.","Désolé, erreur pour le contenu demandé. Veuillez contacter le propriétaire"
"Sorry, there was an error getting requested content","Désolé, erreur pour le contenu demandé."
"Sorry, there was an error getting requested content. Please contact store owner.","Désolé, erreurs pour les contenus demandés. Veuillez contacter le propriétaire"
"Sort Order","Tri"
"Start Download","Démarrage du téléchargement"
"Status","Statut"
"Title","Titre"
"To:","À :"
"U","U"
"Unlimited","Illimité"
"View Order","Consulter"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables."
"attachment","pièce jointe"
"download","téléchargement"
"inline","en ligne"
"sample","exemple"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
