" Copy"," Copie"
"Action","Action"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous sûr de vouloir supprimer tous les tags ?"
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Cannot delete subscriber","Impossible de supprimer l'abonné"
"Cannot delete template","Impossible d'effacer le gabarit"
"Cannot mark as received subscriber","Impossible d'enregistrer comme abonné reçu"
"Cannot save your subscription: %s","Impossible d'enregistrer votre inscription : %s"
"Confirmation Email Sender","Expéditeur du mail de confirmation"
"Confirmation Email Template","Gabarit du mail de confirmation"
"Confirmation request has been sent","Une demande de confirmation a été envoyée"
"Convert to Plain Text","Convertir en texte simple"
"Create Newsletter Template","Créer un nouveau gabarit de newsletter"
"Customer","Client"
"Customer Firstname","Prénom du client"
"Customer Lastname","Nom de famille du client"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate of template code","Duplication de code de gabarit"
"Edit Newsletter","Éditer la newsletter"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"Edit Queue","Éditer file"
"Edit Template","Éditer le gabarit"
"Email","Email"
"Enter your email address","Saisissez votre email"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Form was filled incorrectly","Le formulaire n'a pas été correctement rempli"
"Guest","Invité"
"ID","ID"
"Invalid queue selected","File sélectionnée non valide"
"Invalid subscriber ID","Identifiant d'abonné non valide"
"Invalid subscription ID","Identifiant d'inscription non valide"
"Invalid subscription confirmation code","Code de confirmation d'inscription non valide"
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit de newsletter"
"New Template","Nouveau gabarit"
"Newsletter","Newsletter"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Newsletter Problem Reports","Problèmes newsletter"
"Newsletter Queue","File d'attente newsletter"
"Newsletter Section","Section newsletter"
"Newsletter Sign-up","Inscription à la newsletter"
"Newsletter Subscribers","Abonnés à la newsletter"
"Newsletter Subscription","Abonnement à la newsletter"
"Newsletter Subscriptions","Abonnements à la newsletter"
"Newsletter Templates","Gabarits newsletter"
"Newsletter subscription confirmation","Confirmation de l'abonnement à la newsletter"
"Newsletter subscription success","Abonnement à la newsletter réussi"
"Newsletter unsubscription success","Désabonnement de la newsletter réussi"
"No Templates Found","Aucun gabarit trouvé"
