"All Websites","Tous les sites web"
"Apply Percent Discounts To FPT","Appliquer les remises aux TFP"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Display Prices In Emails","Afficher les prix dans les Emails"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Enable FPT","Activer TFP"
"Excluding FPT","Hors TFP"
"Excluding FPT, FPT description, final price","Exclure TFP, description TFP dans le prix final"
"Fixed Product Tax","Taxe Fixe Produit (TFP)"
"Fixed Product Taxes","Taxes Fixes Produit"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
"Including FPT and FPT description [excl. FPT VAT]","TFP incluse et avec description [hors écotaxe]"
"Including FPT and FPT description [incl. FPT VAT]","TFP incluse et avec description [dont écotaxe]"
"Including FPT only","Inclure seulement TFP"
"Total","Total"
"Total incl. tax","Total TTC"
