"-- Please Select --","-- Votre choix --"
"Account Registration","Inscription de compte"
"All fields of script types have to be filled.","Tous les champs des types de script doivent être renseignés."
"Attributes","Attributs"
"Category View Optimization","Optimisation de vue de catégorie"
"Control Script","Script de contrôle"
"Conversion Page","Page de conversion"
"Conversion Page URL","URL de la page de conversion"
"Conversion Script","Script de conversion"
"Enable","Activer"
"Google Optimizer Scripts","Scripts Google Optimizer"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Installer les scripts"
"Limit is 8 attributes only.","La limite est de 8 attributs."
"Multi Address Checkout","Passage de commande à adresses multiples"
"One Page Checkout","Passage de commande en une seule page"
"Order Success (Multi Address Checkout)","Commande réussie (Passage de commande à adresses multiples)"
"Order Success (One Page Checkout)","Commande réussie (Passage de commande en une seule page)"
"Original Page","Page originale"
"Other","Autre"
"Page Type","Type de page"
"Page View Optimization","Optimisation de page de vue"
"Please copy and paste this value to experiment edit form","Veuillez copier/coller cette valeur pour tester le formulaire d'édition"
"Please select store view to see the URL","Veuillez sélectionner la vue magasin pour voir l'URL"
"Product View Optimization","Optimisation de vue de produit"
"Scripts Install URL","URL d'installation de scripts"
"Shopping Cart","Panier"
"Tracking Script","Script de suivi"
"Use Default","Utiliser la valeur par défaut"
"Use Default Values","Utiliser les valeurs par défaut"
"Variant Page","Page de variante"
