"-- Please Select --","-- Veuillez Sélectionner --"
"Add New Class","Ajouter une classe"
"Add New Tax Rate","Ajouter une nouvelle taxe"
"Add New Tax Rule","Ajouter une nouvelle règle"
"Apply Discount On Prices Including Tax","Appliquer la remise sur les prix TTC"
"Apply Tax After Discount","Appliquer les taxes après la remise"
"Apply Tax On","Appliquer la taxe sur"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Back","Retour"
"CSV","CSV"
"Calculation","Calcul"
"Catalog prices include tax","Les prix catalogue incluent les taxes"
"Class Name","Nom de la classe"
"Code","Code"
"Country","Pays"
"Country/Region/Postal code combination","Combinaison de pays/région/code postal"
"County","Région"
"Custom price if available","Prix personnalisée si disponible"
"Customer Tax Class","Classe de taxe client"
"Customer Tax Class Information","Classe de taxe client (Information)"
"Customer Tax Classes","Classes de taxe client"
"Default Country","Pays par défaut"
"Default Post Code","Code postal par défaut"
"Default State","État par défaut"
"Default Tax Origin Calculation","Origine de la TVA pour le calcul"
"Delete Class","Supprimer la classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Display","Afficher"
"Display Cart/Order Prices","Afficher les prix de panier/commande"
"Display Product Prices","Afficher les prix des produits"
"Display Shipping Prices","Afficher le prix de l'expédition"
"Display Zero Tax Subtotal","Ne pas afficher la taxe dans le sous-total"
"Display full tax summary","Afficher un résumé de la taxe"
"Edit Class","Éditer la Classe"
"Edit Class '%s'","Éditer la Classe '%s'"
"Edit Rule","Éditer la règle"
"Edit Tax Rate","Éditer le taux de la taxe"
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez essayer de nouveau."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. ID du taux incorrect"
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez essayer de nouveau."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle Veuillez essayer de nouveau."
"Error while saving this rate. Please try again later.","Erreur lors de l'enregistrement de ce taux. Veuillez essayer de nouveau."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de TVA. Il existe une classe portant ce nom."
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez essayer de nouveau."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette règle de taxe. Veuillez essayer de nouveau."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Erreur lors de la sauvegarde de cette classe de TVA. Cette combinaison existe déjà."
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Excluding tax","HT"
"Export Tax Rates","Exporter les taux"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignoré si l'option 'Appliquer les taxes après la remise' est activée"
"Import / Export Tax Rates","Import / Export Taux de taxes"
"Import Tax Rates","Import Taux de taxes"
"Inc. Tax","TTC"
"Incl. Tax","TTC"
"Incl. Tax:","TTC:"
"Including and excluding tax","TTC et HT"
"Including tax","TTC"
"Incorrect rate Data","Données de taux incorrectes"
"Invalid data for tax rate calculation","Données invalides pour le calcul du taux de TVA"
"Invalid file format upload attempt","Format de fichier non valide pour import"
"Invalid file upload attempt","Import de fichier non valide"
"Manage Customer Tax Classes","Gérer les classes de taxes client"
"Manage Product Tax Classes","Gérer les classes de taxe produit"
"Manage Tax Rates","Gérer les taux des taxes"
"Manage Tax Rules","Gérer les règles de taxes"
"Manage Tax Zones & Rates","Gérer les zones et les taux des taxes"
"Name","Nom"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"New Tax Rate","Nouveau taux"
"None","Aucun"
"One of the country has invalid code.","Un des pays possède un code non valide."
"Original price only","Prix original seulement"
"Please select Country","Sélectionnez un pays"
"Please select County","Sélectionnez une région"
"Please select State","Sélectionnez un état"
"Priority","Priorité"
"Product Tax Class","Classe de taxe produit"
"Product Tax Class Information","Information sur la classe de taxe produit"
"Product Tax Classes","Classe de taxe produit"
"Rate","Taux"
"Reset","Réinitialiser"
"Sales","Ventes"
"Save Class","Sauvegarder la classe"
"Save Rate","Sauvegarder le taux"
"Save Rule","Sauvegarder la règle"
"Shipping prices include tax","Les prix de livraison sont exprimés TTC"
"Sort Order","Ordre de tri"
"State","État"
"State/Region","État/Région"
"Tax","Taxe"
"Tax Based On","Taxe basée sur"
"Tax Class for Shipping","Classe de taxe pour la livraison"
"Tax Classes","Classes de Taxe"
"Tax Identifier","Identifiant Taxe"
"Tax Rate","Taux Taxe"
"Tax Rate Information","Information sur le taux de la taxe"
"Tax Rule Information","Information sur la règle de la taxe"
"Tax Rules","Règles de taxe"
"Tax Section","Section Taxe"
"Tax Titles","Titre pour la classe"
"Tax class was successfully deleted","Taxe supprimée avec succès"
"Tax class was successfully saved","Taxe sauvegardée avec succès"
"Tax rate was successfully deleted","Taux de taxe supprimé avec succès"
"Tax rate was successfully imported","Taux de taxe importé avec succès"
"Tax rate was successfully saved","Taux de taxe sauvegardé avec succès"
"Tax rates at the same priority are added, others are compounded.","Taux de taxe avec la même priorité ajouté. Les autres taux sont cumulés."
