"* Required Fields","* Campos obrigatórios"
"A new password was sent","Uma nova senha foi enviada"
"Account Dashboard","Painel da conta"
"Account Information","Informações da conta"
"Account Sharing Options","Opções da conta para compartilhamento"
"Account information was successfully saved","Informações da conta foram salvas com sucesso"
"Action","Ação"
"Add New Address","Adicionar novo endereço"
"Add New Customer","Adicionar novo cliente"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Added From","Adicionado de"
"Additional Address Entries","Entradas de endereços adicionais"
"Address","Endereço"
"Address Book","Lista de endereços"
"Address Information","Informações de endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Tudo"
"All Store Views","Todas visões da loja"
"All countries","Todos países"
"Always optional","Sempre opcional"
"Amount","Quantia"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a inserção deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja remover este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected","Vetor de coleções de entidades é esperado"
"Assign a customer group","Associar um grupo de clientes"
"Average Sale","Média de vendas"
"Back","Voltar"
"Back to Login","Voltar para entrar"
"Bad request.","Solicitação incorreta."
"Bill to Name","Cobrar do nome"
"Billing Information","Informações de cobrança"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"CSV","CSV"
"Can't save address","Não foi possível salvar endereço"
"Can't save customer","Não foi possível salvar cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar contas dos clientes globalmente. Algumas contas dos clientes com os mesmos e-mails existem em múltiplos websites e não podem ser unidos."
"Cancel","Cancelar"
"Change Account Password","Alterar senha da conta"
"Change Billing Address","Alterar endereço de cobrança"
"Change Password","Alterar senha"
"Change Shipping Address","Alterar endereço de envio"
"City","Cidade"
"Company","Empresa"
"Config","Config"
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar senha"
"Confirmation Link Email","E-mail com link de confirmação"
"Confirmed","Confirmado"
"Contact Information","Informação de contato"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções de criação de nova conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar pedido"
"Create an Account","Criar uma conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço do cliente"
"Current Password","Senha atual"
"Customer","Cliente"
"Customer Addresses","Endereços de cliente"
"Customer Api","API do cliente"
"Customer Configuration","Configuração de cliente"
"Customer Group","Grupo de clientes"
"Customer Group was successfully deleted","Grupo de clientes foi excluído com sucesso"
"Customer Group was successfully saved","Grupo de clientes foi salvo com sucesso"
"Customer Groups","Grupos de clientes"
"Customer Information","Informações de cliente"
"Customer Login","Nome de usuário do cliente"
"Customer Since","Cliente desde"
"Customer View","Visão do cliente"
"Customer collection expected","Coleção de clientes esperada"
"Customer doesn't have primary billing address","Cliente não tem endereço de cobrança primário"
"Customer email already exists","E-mail de cliente já existe"
"Customer website id must be specified, when using website scope.","ID do site do cliente precisa ser especificado quando usado o escopo do site."
"Customers","Clientes"
"Customers Only","Apenas clientes"
"Customers Section","Seção de clientes"
"DD","DD"
"Date","Data"
"Date Added","Data adicionada"
"Date of Birth","Data de nascimento"
"Date of Birth is required.","Data de nascimento é obrigatório."
"Day","Dia"
"Days in Wishlist","Dias na lista de desejos"
"Default Addresses","Endereços padrões"
"Default Billing Address","Endereço padrão de cobrança"
"Default Email Domain","Domínio de e-mail padrão"
"Default Group","Grupo padrão"
"Default Shipping Address","Endereço padrão de envio"
"Default Welcome Email","E-mail padrão de boas-vindas"
"Delete","Excluir"
"Delete Address","Excluir endereço"
"Delete Customer","Excluir cliente"
"Delete Customer Group","Excluir grupo de clientes"
"Delete customer","Excluir cliente"
"Delete customer address","Excluir endereço do cliente"
"Deleted Stores","Excluir lojas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar informações da conta"
"Edit Account Information","Editar informações da conta"
"Edit Address","Editar endereço"
"Edit Address Entry","Editar entrada de endereço"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
"Edit Customer Groups","Editar grupos de clientes"
"Edit Customer's Address","Editar endereço de cliente"
"Edit Group","Editar grupo"
"Edit Newsletter Subscription","Editar assinatura do boletim informativo"
"Edit Newsletters","Editar boletim informativos"
"Edit Personal Information","Editar informações pessoais"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Email Sender","Remetente do e-mail"
"Entity collection is expected","Coleção de entidade é esperada"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor: %s"
"Ext. Price","Preço extendido"
"Failed to confirm customer account.","Falha ao confirmar conta do cliente"
"Fax","Fax"
"First Name","Nome"
"First name can't be empty","Nome não pode estar vazio"
