"Action","Ação"
"All types","Todos tipos"
"Backup file ""%s"" can't read or write","Arquivo de backup ""%s"" não pode ser lido ou escrito"
"Backup file ""%s"" doesn't exist","Arquivo de backup ""%s"" não existe"
"Backup file doesn't exist","Arquivo de backup não existe"
"Backup file handler don't specify","O manipulador do arquivo de backup não foi especificado"
"Backup file path don't specify","O caminho do arquivo de backup não foi especificado"
"Backups","Backups"
"Cannot read backup file","Não foi possível ler arquivo de backup"
"Create Backup","Criar backup"
"DB","BD"
"Database was successfuly backed up.","Backup do bancos de dados concluído com sucesso."
"Download","Baixar"
"Error write to Backup file ""%s""","Erro de escrita no arquivo de backup ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Arquivo comprimido com Zlib, mas esta extensão não está instalada no servidor"
"Size, byte","Tamanho, byte"
"Time","Tempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar backup. Por favor, tente novamente mais tarde."
"Wrong order of creation for new backup","Solicitação incorreta de criação de novo backup"
