"Actions","Ações"
"Add Answer","Adicionar resposta"
"Add New Answer","Adicionar nova resposta"
"Add New Poll","Adicionar nova pesquisa"
"Answer Title","Título da resposta"
"Answer Title:","Título da resposta:"
"Answer was successfully saved","Resposta foi salva com sucesso"
"Answer with the same title in this poll","Resposta com o mesmo título nesta pesquisa"
"Are you sure you want to delete it?","Você tem certeza que deseja excluir-lo?"
"Assigned Answers","Respostas associadas"
"Closed","Fechado"
"Community Poll","Pesquisa da comunidade"
"Date Closed","Data de fechamento"
"Date Posted","Data de publicação"
"Delete","Excluir"
"Delete Answer","Excluir resposta"
"Delete Poll","Excluir pesquisa"
"Disallow voting in a poll multiple times from same IP-address","Não permitir votar em uma pesquisa várias vezes de um mesmo endereço IP"
"Edit Answer '%s'","Editar resposta '%s'"
"Edit Poll '%s'","Editar pesquisa '%s'"
"Edit Poll Answer","Editar resposta da pesquisa"
"ID","ID"
"Invalid Answer","Resposta inválida"
"New Poll","Nova pesquisa"
"Number of Responses","Número de respostas"
"Open","Abrir"
"Poll Answers","Respostas da pesquisa"
"Poll Information","Informações de pesquisa"
"Poll Manager","Gerenciador de pesquisa"
"Poll Question","Questão de pesquisa"
"Poll information","Informações de pesquisa"
"Poll not exists","Pesquisa não existe"
"Poll with the same question","Pesquisa com a mesma questão"
"Save Answer","Salvar resposta"
"Save Poll","Salvar pesquisa"
"Status","Status"
"Unable to find answer to delete.","Impossível encontrar resposta para excluir."
"Visible In","Visível em"
"Vote","Votar"
"Votes Count","Contagem de votos"
"Votes Count:","Contagem de votos:"
