"%s and greater","%s e maior"
"Advanced Search","Busca avançada"
"All","Tudo"
"Applies for ""Like"" Search type only","Aplicar somente para o tipo de busca ""Like"""
"Apply Layered Navigation if search results are less than","Aplicar navegação por camadas se resultados da busca forem menores que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Configuração de atributo muda relacionado ao índice da busca. Por favor, execute o processo de <a href=""%s"">refazer índice da busca</a>"
"Autogenerated site map","Mapa do site gerado automaticamente"
"Catalog Advanced Search","Busca avançada no catálogo"
"Catalog Search","Busca no catálogo"
"Don't see what you're looking for?","Não achou o que você estava procurando?"
"Go","Ir"
"Go to Home Page","Ir para página principal"
"Grid","Grade"
"Home","Principal"
"List","Lista"
"Maximum Query Length","Tamanho máximo da query"
"Maximum Query Words Count","Contagem máxima de palavras da query"
"Maximum Search query  length is %s. Your query was cut.","Tamanho máximo de busca da query é %s. Sua query foi cortada."
"Minimal Query Length","Tamanho mínimo da query"
"Modify your search","Modifique sua busca"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando os seguintes critérios de busca."
"Please enter ""0"" to enable layered navigation for any number of results","Por favor, insira ""0"" para habilitar navegação por camadas para qualquer número de resultados"
"Popular Search Terms","Termos populares de busca"
"Popular search terms","Termos populares de busca"
"Relevance","Relevância"
"Required Fields","Campos obrigatórios"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configurações de busca"
"Search Site","Site de busca"
"Search Terms","Termos de busca"
"Search Type","Tipo de busca"
"Search entire store here...","Procurar em toda a loja..."
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Subscribe to Feed","Assinar Feed"
"There are no search terms available.","Não há termos de busca disponíveis."
"Yes","Sim"
"You have to specify at least one search term","Você precisa especificar pelo menos um termo de busca"
"Your search returns no results.","Sua busca não retornou resultados."
"up to %s","até %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> foram encontrados usando o seguinte critério de busca"
"Is product available for purchase with Google Checkout","O produto está disponível para compra com Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
