"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Fazerá a busca para a query acima retornando resultados.)"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por favor, selecione --"
"A name is required","Um nome é obrigatório"
"ALL GROUPS","TODOS GRUPOS"
"AM","AM"
"Action","Ação"
"Add Attribute","Adicionar atributo"
"Add Design Change","Adicionar alteração de design"
"Add Group","Adicionar grupo"
"Add Items to Cart","Adicionar itens ao carrinho"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo grupo de atributos"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar novas imagens"
"Add New Option","Adicionar nova opção"
"Add New Row","Adicionar nova linha"
"Add New Search Term","Adicionar novos termos de busca"
"Add New Set","Adicionar novo grupo"
"Add Option","Adicionar opção"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar produto para websites"
"Add Root Category","Adicionar categoria raíz"
"Add Subcategory","Adicionar sub-categoria"
"Add Tax","Adicionar imposto"
"Add Tier","Adicionar diferencial"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to My Wishlist","Adicionar à minha lista de desejos"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Information","Informações adicionais"
"All","Tudo"
"All Product Types","Todos tipos de produtos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão excluídos. Você tem certeza que deseja excluir este grupo de atributo?"
"Allow HTML-tags on Front-end","Permitir HTML-tags no front-end"
"Allowed File Extensions","Extensões de arquivos permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"Amount","Quantia"
"Apply To","Aplicar para"
"Apply To Configurable/Grouped Product","Aplicar para produto configurável/agrupado"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Você tem certeza que deseja remover todos os itens da sua comparação?"
