"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente aos itens do carrinho que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam as seguintes condições"
"Apply to","Aplicar para"
"Buy X get Y free (discount amount is Y)","Compre X leve Y grátis (desconto de Y)"
"By Fixed Amount","Por valor fixo"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"By Percentage of the original price","Por porcentagem do preço original"
"Cart Attribute","Atributo do carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Condições de combinação"
"Coupon Code","Código de cupom"
"Coupon code","Código de cupom"
"Customer Groups","Grupos de clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Delete Rule","Excluir regra"
"Description","Descricão"
"Description: %s","Descrição: %s"
"Discount Qty Step (Buy X)","Degrau de quantidade para desconto (compre X)"
"Discount amount","Total do desconto"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Expire at: %s","Expira em: %s"
"Fixed amount discount","Valor fixo de desconto"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"For matching items only","Somente para itens selecionados"
"For shipment with matching items","Para envio com itens selecionados"
"Free shipping","Envio gratuito"
"From Date","A partir da data"
"General Information","Informações gerais"
"ID","ID"
"Inactive","Inativo"
"Maximum Qty Discount is Applied to","Desconto máximo de quantidade é aplicado para"
"NOT LOGGED IN","NÃO CONECTADO"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"Payment Method","Método de pagamento"
"Percent of product price discount","Porcentagem do desconto no preço do produto"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no RSS Feed"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informações da regra"
"Rule Name","Nome da regra"
"Rule was successfully deleted","Regra foi excluída com sucesso"
"Rule was successfully saved","Regra foi salva com sucesso"
"Save Rule","Salvar regra"
"Shipping Country","País de envio"
"Shipping Method","Método de envio"
"Shipping Postcode","CEP de envio"
"Shipping Region","Região de envio"
"Shipping State/Province","Estado de envio"
"Shopping Cart Price Rule","Regra de preço do carrinho de compras"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Special price","Preço especial"
"Start at: %s","Início em: %s"
"Status","Status"
"Stop further rules processing","Parar processamento de demais regras"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"To Date","Para data"
"To Fixed Amount","Para quantidade fixa"
"To Fixed Value","Para valor fixo"
"To Percentage","Para porcentagem"
"To Percentage of the original price","Para porcentagem do preço original"
"Total Items Quantity","Quantidade total de itens"
"Total Weight","Peso total"
"Unable to find a page to delete","Não foi possível encontrar uma página para excluir"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Update the Product","Atualizar o produto"
"Uses per coupon","Usos por cupom"
"Uses per customer","Usos por cliente"
"Yes","Sim"
