"Abandoned carts","Carrinhos abandonados"
"Action","Ação"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to Wishlist","Adicionar à lista de desejos"
"Applied Coupon","Cupom aplicado"
"Avg. approved rating","Média de classificação aprovada"
"Avg. rating","Classificação média"
"Bestsellers","Mais vendidos"
"Bought from wishlists","Comprados da lista de desejos"
"CSV","CSV"
"Carrier/Method","Transportadora/Método"
"Carts","Carrinhos"
"Coupons","Cupons"
"Created at","Criado em"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Tags do cliente"
"Customers","Clientes"
"Customers Report","Relatórios de clientes"
"Customers Reviews","Opinião de clientes"
"Customers Tags","Tags dos clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tem lista de desejos: %s%"
"Day","Dia"
"Default Recently Compared Products count","Contagem padrão de produtos comparados recentemente"
"Default Recently Viewed Products count","Contagem padrão de produtos visualizados recentemente"
"Detail","Detalhe"
"Discounts","Descontos"
"Downloads","Downloads"
"Email","E-mail"
"Excel","Excel"
"First Name","Nome"
"Guest","Visitante"
"Hits","Ocorrências"
"ID","ID"
"Invalid date specified","Data especificada inválida"
"Invoiced","Faturado"
"Items Ordered","Itens pedidos"
"Items in Cart","Itens no carrinho"
"Last Name","Sobrenome"
"Last Review","Última análise"
"Link","Link"
"Low stock","Estoque baixo"
"Month","Mês"
"Most Viewed","Mais visitados"
"Most viewed","Mais visitados"
"Name","Nome"
"New Accounts","Novas contas"
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Historical Uses","Número de histórico de usos"
"Number Of Reviews","Número de opiniões"
"Number Of Uses","Número de usos"
"Number Purchased","Número comprado"
"Number Viewed","Número de visualizações"
"Number of Items","Número de itens"
"Number of Ivoiced Orders","Número de pedidos faturados"
"Number of New Accounts","Número de novas contas"
"Number of Orders","Número de pedidos"
"Number of Refunded Orders","Número de pedidos reembolsados"
"Number of Reviews","Número de opiniões"
"Number of Total Tags","Número total de tags"
"Number of Unique Tags","Número de tags únicas"
"Number of Views","Número de visitas"
"Number of items bought from a wishlist: %s","Número de itens comprados da lista de desejos: %s"
"Number of times deleted","Número de vezes removido"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a lista de desejos foi compartilhada (enviado por e-mail): %s"
"Number of wishlist conversions: %s","Número de conversões da lista de desejos: %s"
"Number of wishlist referrals: %s","Número de referências da lista de desejos: %s"
"Number of wishlists: %s","Número de listas de desejos: %s"
"Offline Refunded","Reembolso offline"
"Online Refunded","Reembolso online"
"Orders","Pedido"
"Out of stock","Esgotado"
"Poducts Report","Relatório dos produtos"
"Popular Tags","Tags populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do produto"
"Product Reviews","Opiniões do produto"
"Product Sku","ID do produto"
"Product Tags","Tags do produto"
"Products","Produtos"
"Products Report","Relatório dos produtos"
"Products Reviews","Opiniões dos produtos"
"Products Sold","Produtos vendidos"
"Products Tags","Tags dos produtos"
"Products in carts","Produtos no carrinho"
"Purchases","Compras"
"Quantity Ordered","Quantidade pedida"
"Quantity of Items","Quantidade de itens"
"Rate","Avaliação"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed Products","Produtos visualizados recentemente"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Refunded","Reembolsado"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Análise"
"Reviews","Opiniões"
"Reviews for %s","Opiniões para %s"
"Sales","Vendas"
"Sales Report","Relatório de vendas"
"Search Terms","Termos de busca"
"Shipping","Envio"
"Shopping Cart","Carrinho de compras"
"Show for Current","Mostrar atual"
"Stock Qty","Quantidade em estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado em"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Detalhes da tag ""%s"""
"Tag Detail","Detalhe da tag"
"Tag Name","Nome da tag"
"Tag use","Uso da tag"
"Tags submited by %s","Tags enviadas por %s"
"Tags submitted to %s","Tags enviadas para %s"
"Tax","Imposto"
"Tax Amount","Valor de imposto"
"Title","Título"
"Total","Total"
"Total Invoiced","Total faturado"
"Total Invoiced Captured","Total faturado capturado"
"Total Invoiced not Captured","Total faturado não capturado"
"Total Refunded","Total reembolsado"
"Total Shipping","Total enviado"
"Total Tags","Total de tags"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated at","Atualizado em"
"Visible In","Visível em"
"Wishlist Report","Relatório de lista de desejos"
"Wishlist vs. Regular Order","Lista de desejos x Pedido regular"
"Wishlists","Lista de desejos"
"Year","Ano"
"Your Recently Compared","Suas últimas comparações"
"Your Recently Viewed","Suas últimas visualizações"
