"Actions","Ações"
"Are you sure?","Você tem certeza?"
"Date Added","Data adicionada"
"Error while marking as read. Please try again later.","Erro ao marcar como lido. Por favor, tente mais tarde."
"Error while marking. Please try again later.","Erro ao marcar. Por favor, tente mais tarde."
"Error while removing. Please try again later.","Erro ao remover. Por favor, tente mais tarde."
"Last update","Última atualização"
"Mark as Read","Marcar como lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Message was successfully marked as read","Mensagem foi marcada como lida com sucesso"
"Message was successfully removed","Mensagem foi removida com sucesso"
"Messages Inbox","Caixa de mensagens"
"Notifications","Notificações"
"Please select messages","Por favor, selecione as mensagens"
"Read Details","Ler detalhes"
"Remove","Remover"
"Severity","Severidade"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de ferramentas"
"Total of %d record(s) were successfully marked as read","%d registro(s) marcado(s) como lido com sucesso"
"Total of %d record(s) were successfully removed","%d registro(s) excluído(s) com sucesso"
"Unable to proceed. Please, try again","Impossível continuar. Por favor, tente novamente"
"Update frequency","Atualizar frequência"
"Use HTTPS to get feed","Usar HTTPS para obter feed"
"critical","CRITICAL"
"major","MAJOR"
"minor","MINOR"
"notice","NOTICE"
