"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar nova classificação"
"Assigned Options","Opções associadas"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Default Value","Valor padrão"
"Delete Rating","Excluir classificação"
"Edit Rating","Editar classificação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão será usado."
"Manage Ratings","Gerenciar votos"
"New Rating","Nova classificação"
"Option Label","Rótulo de opção"
"Option Title","Título de opção"
"Option Title:","Título de opção:"
"Please select one of each ratings above","Por favor, selecione uma das classificações acima"
"Rating Information","Informações de classificação"
"Rating Name","Nome da classificação"
"Rating Options","Opções de classificação"
"Rating Title","Título de classificação"
"Rating Visibility","Visibilidade de classificação"
"Rating isn't Available","Classificação não está disponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Salvar classificação"
"Visible In","Visível em"
