"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado(a) com sucesso à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%s's Wishlist","%s's lista de desejos"
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar todos ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Added On","Adicionado em"
"Are You sure?","Você tem certeza?"
"Are you sure you want to remove this product from your wishlist?","Você tem certeza que deseja remover este produto da sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza que deseja remover este item de sua lista de desejos?"
"Back","Voltar"
"Can't save description %s","Não foi possível salvar descrição %s"
"Cannot create wishlist","Não foi possível criar lista de desejos"
"Cannot specify product","Não foi possível especificar o produto"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa de seleção se você deseja adicionar um link para um RSS Feed para sua lista de desejos."
"Comment","Comentários"
"Email Sender","Remetente do e-mail"
"Email Template","Modelo de e-mail"
"Email address can't be empty.","Endereço de e-mail não pode ser vazio."
"Email addresses, separated by commas","Endereços de e-mail separados por vírgulas"
"Enabled","Habilitado"
"General Options","Opções gerais"
"Go to Wishlist","Ir para lista de desejos"
"Last Added Items","Últimos itens adicionados"
"Message","Mensagem"
"My Wishlist","Minha Lista de Desejos"
"My Wishlist (%d item)","Minha lista de desejos (%d item)"
"My Wishlist (%d items)","Minha lista de desejos (%d itens)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, insira endereços de e-mail válidos separados por vírgulas. Por exemplo joao@dominio.com.br, jose@dominio.com.br"
"Please, enter your comments...","Por favor, insira os seus comentários..."
"Product","Produto"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Link RSS para lista de desejos de %s"
"Remove Item","Remover item"
"Share Wishlist","Compartilhar lista de desejos"
"Share Your Wishlist","Compartilhar sua lista de desejos"
"Share options","Opções de compartilhamento"
"Sharing Information","Informações de compartilhamento"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar item à lista de desejos."
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar item à lista de desejos: %s"
"There was an error while deleting item from wishlist.","Ocorreu um erro ao remover item da lista de desejos."
"There was an error while deleting item from wishlist: %s","Ocorreu um erro ao remover item da lista de desejos: %s"
"This product(s) is currently out of stock:","Este(s) produto(s) está(ão) esgotado(s):"
"Update Wishlist","Atualizar lista de desejos"
"View Product","Ver produto"
"Wishlist","Lista de desejos"
"Wishlist Section","Seção da lista de desejos"
"Wishlist Sharing","Compartilhamento da lista de desejos"
"Wishlist is empty now.","Lista de desejos está vazia agora."
"You have no items in your wishlist.","Não há itens na sua lista de desejos."
"You input not valid email address.","Você inseriu um endereço de e-mail inválido."
"Your Wishlist was successfully shared","Sua lista de desejos foi compartilhada com sucesso"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Lista de desejos - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Minha lista de desejos"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
