"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir convidados"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email templates","Modelos de e-mail"
"Email to a Friend","Enviar para um amigo"
"Email:","E-mail:"
"Enabled","Habilitado"
"Limit Sending By","Limitar envio por"
"Link to a friend was sent.","Link enviado para um amigo."
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Max Recipients","Máximo de destinatários"
"Maximum %d email addresses allowed.","Máximo %d endereços de e-mail permitido."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Destinatário:"
"Remove Email","Remover e-mail"
"Select email template","Selecione um modelo de e-mail"
"Send email","Enviar e-mail"
"Send product to a friend","Enviar produto para um amigo"
"Sender:","Remetente:"
"Some emails was not sent","Alguns e-mails não foram enviados"
"Some problems with data.","Alguns problemas com os dados."
"You cannot email this product to a friend","Você não pode enviar um e-mail para seu amigo com este produto"
"You cannot send more than %d times in an hour","Você não pode enviar mais de %d vezes por hora"
