" Copy"," Copiar"
"Action","Ação"
"Add New Template","Adicionar novo modelo"
"Add to Queue","Adicionar a fila"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip all tags?","Você tem certeza que deseja remover todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete subscriber","Não foi possível excluir assinante"
"Cannot delete template","Não foi possível excluir modelo"
"Cannot mark as received subscriber","Não foi possível marcar como assinante recebido"
"Cannot save your subscription: %s","Não foi possível salvar sua assinatura: %s"
"Confirmation Email Sender","Remetente de e-mail de confirmação"
"Confirmation Email Template","Modelo de e-mail de confirmação"
"Confirmation request has been sent","Solicitação de confirmação foi enviada"
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar modelo do boletim informativo"
"Customer","Cliente"
"Customer Firstname","Nome do cliente"
"Customer Lastname","Sobrenome do cliente"
"Date Added","Data adicionada"
"Date Updated","Data de atualização"
"Delete Selected Problems","Excluir problemas selecionados"
"Delete Template","Excluir modelo"
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Duplicate of template code","Duplicação do código de modelo"
"Edit Newsletter","Editar boletim informativo"
"Edit Newsletter Template","Editar modelo do boletim informativo"
"Edit Queue","Editar fila"
"Edit Template","Editar modelo"
"Email","E-mail"
"Enter your email address","Insira seu endereço de e-mail"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Form was filled incorrectly","Formulário foi preenchido incorretamente"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected","Fila inválida selecionada"
"Invalid subscriber ID","ID inválido de assinante"
"Invalid subscription ID","ID inválido de assinatura"
"Invalid subscription confirmation code","Código inválido de confirmação de assinatura"
"Message","Mensagem"
"Need to Confirm","Precisa confirmar"
"New Newsletter Template","Novo modelo de boletim informativo"
"New Template","Novo modelo"
"Newsletter","Boletim informativo"
"Newsletter Message Preview","Visualizar mensagem do boletim informativo"
"Newsletter Problem Reports","Relatórios de problemas do boletim informativo"
"Newsletter Queue","Fila do boletim informativo"
"Newsletter Section","Seção de boletim informativo"
"Newsletter Sign-up","Assinar boletim informativo"
"Newsletter Subscribers","Assinantes do boletim informativo"
"Newsletter Subscription","Assinatura do boletim informativo"
"Newsletter Subscriptions","Assinaturas do boletim informativo"
"Newsletter Templates","Modelos de boletim informativo"
"Newsletter subscription confirmation","Confirmação da assinatura do boletim informativo"
"Newsletter subscription success","Assinatura do boletim informativo realizada com sucesso"
"Newsletter unsubscription success","Cancelamento do boletim informativo realizado com sucesso"
"No Templates Found","Nenhum modelo encontrado"
"No problems found","Nenhum problema encontrado"
"No subscribers selected","Nenhum assinante selecionado"
"Not Sent","Não enviado"
"Not activated","Não ativado"
"Pause","Pausar"
"Paused","Parado"
"Please enter a valid email address","Por favor, insira um endereço de e-mail válido"
"Please enter new template name","Por favor, insira nome do novo modelo"
"Please select subscriber(s)","Por favor, selecione assinante(s)"
"Preview","Visualização"
"Preview Template","Visualizar modelo"
"Processed","Processado"
"Queue Date Start","Data de início da fila"
"Queue Finish","Término da fila"
"Queue Information","Informações da fila"
"Queue Newsletter","Boletim informativo da fila"
"Queue Start","Início da fila"
"Queue Subject","Assunto da fila"
"Recipients","Destinatários"
"Reset","Redefinir"
"Resume","Continuar"
"Return Html Version","Retornar versão HTML"
"Save And Resume","Salvar e continuar"
"Save As","Salvar como"
"Save Newsletter","Salvar boletim informativo"
"Save Template","Salvar modelo"
"Selected problem subscribers successfully unsubscribed","Assinantes com problemas selecionados foram cancelados com sucesso"
"Selected problems successfully deleted","Problemas selecionados excluídos com sucesso"
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Sending","Enviando"
"Sending Options","Enviando opções"
"Sent","Enviado"
"Set Return-Path","Definir caminho-retorno"
"Sign me up","Inscrever-me"
"Sign up for our newsletter:","Informe o seu e-mail:"
"Start","Início"
"Status","Status"
"Store","Loja"
"Store View","Visão da loja"
"Subject","Assunto"
"Subscribe","Assinar"
"Subscribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de assinatura"
"Success Email Sender","Remetente de e-mail de sucesso"
"Success Email Template","Modelo de e-mail de sucesso"
"Template Content","Conteúdo do modelo"
"Template Information","Informações do modelo"
"Template Name","Nome do modelo"
"Template Subject","Assunto do modelo"
"Template Type","Tipo de modelo"
"Thank you for your subscription","Obrigado pela sua assinatura"
"The subscription was successfully saved","A assinatura foi salva com sucesso"
"There was a problem with the subscription","Ocorreu um problema com a assinatura"
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento da assinatura."
"There was an error while saving your subscription","Ocorreu um erro ao salvar sua assinatura"
"Toggle Editor","Trocar editor"
"Type","Tipo"
"Unsubscribe","Cancelar assinatura"
"Unsubscribe Selected","Selecionado cancelar assinatura"
"Unsubscribed","Assinatura cancelada"
"Unsubscription Email Sender","Remetente do e-mail de cancelamento de assinatura"
"Unsubscription Email Template","Modelo de e-mail de cancelamento de assinatura"
"View Newsletter","Ver boletim informativo"
"Website","Website"
"You have been successfully unsubscribed.","Sua assinatura foi cancelada com sucesso."
"Your subscription was successfully confirmed","Sua assinatura foi confirmada com sucesso"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
