"All Websites","Todos Websites"
"Apply Percent Discounts To FPT","Aplicar percentual de desconto para FPT"
"Apply Tax To FPT","Aplicar imposto para FPT"
"Display Prices In Emails","Mostrar preços nos e-mails"
"Display Prices In Product Lists","Mostrar preços nas listas de produtos"
"Display Prices In Sales Modules","Mostrar preços nos módulos de vendas"
"Display Prices On Product View Page","Mostrar preços na página de visualização do produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluir FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, descrição do FPT, preço final"
"Fixed Product Tax","Imposto fixo de produto"
"Fixed Product Taxes","Impostos fixos de produto"
"Include FPT In Subtotal","Incluir FPT no subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Incluir FPT e descrição do FPT [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT e descrição do FPT [incl. FPT VAT]"
"Including FPT only","Incluir FPT somente"
"Total","Total"
"Total incl. tax","Total incl. imposto"
