"Actions","Ações"
"Active","Ativo"
"Add New Rule","Acrescentar nova regra"
"Apply Rules","Aplicar regras"
"Attribute Set","Grupo de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de preço do catálogo"
"Catalog Price Rules","Regras de preço do catálogo"
"Category","Categoria"
"Comments History","Histórico de comentários"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Condições de combinação"
"Credit Memos","Memorandos de crédito"
"Customer Groups","Grupos de clientes"
"Customer is new buyer: %s","Cliente é novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Data de expiração"
"Date From","Data de"
"Date Start","Data de início"
"Date To","Data para"
"Delete Rule","Excluir regra"
"Description","Descricão"
"Description: %s","Descrição: %s"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Expire at: %s","Expira em: %s"
"From Date","A partir da data"
"General Information","Informações gerais"
"Gift Messages","Mensagens do presente"
"ID","ID"
"Inactive","Inativo"
"Invoices","Faturas"
"NOT LOGGED IN","NÃO CONECTADO"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"Options","Opções"
"Order Credit Memos","Memorando de crédito do pedido"
"Order Gift Messages","Mensagens dos presentes do pedido"
"Order History","Histórico de pedidos"
"Order Invoices","Faturas dos pedidos"
"Order Shipments","Envios de pedidos"
"Priority","Prioridade"
"Product Attribute","Atributo do produto"
"Promotions","Promoções"
"Rule Information","Informações da regra"
"Rule Name","Nome da regra"
"Rule was successfully deleted","Regra foi excluída com sucesso"
"Rule was successfully saved","Regra foi gravada com sucesso"
"Rules were successfully applied","Regras foram aplicadas com sucesso"
"Save Rule","Salvar regra"
"Save and Apply","Salvar e aplicar"
"Shipments","Envios"
"Start at: %s","Início em: %s"
"Status","Status"
"Stop further rules processing","Parar processamento de demais regras"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Existem regras que foram alteradas mas não aplicadas. Por favor, clique em aplicar regras para ver efeito imediato no catálogo."
"This rule no longer exists","Esta regra não existe mais"
"To Date","Para data"
"Unable to apply rules","Não foi possível aplicar regras"
"Unable to find a page to delete","Não foi possível encontrar uma página para excluir"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Websites","Websites"
"Yes","Sim"
