"--Select--","--Selecione--"
"Add New Option","Adicionar nova opção"
"Add Selection","Adicionar seleção"
"As low as","Tão baixo quanto"
"Bundle Items","Empacotar itens"
"Bundle Product","Pacote de produtos"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto cada"
"Checkbox","Caixa de seleção"
"Choose a selection...","Escolha uma seleção..."
"Close","Fechar"
"Default","Padrão"
"Default Qty","Quantidade padrão"
"Default Title","Título padrão"
"Drop-down","Drop-down"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. imposto"
"Fixed","Arrumado"
"From","De"
"From:","De:"
"Gift Message","Mensagem de presente"
"Incl. Tax","Incl. imposto"
"Input Type","Tipo de entrada"
"Is Required","É obrigatório"
"Message:","Mensagem:"
"Multiple Select","Seleção múltipla"
"N/A","N/A"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"None","Nada"
"Percent","Porcentagem"
"Percent Discount","Percentual de desconto"
"Please enter search conditions to view products.","Por favor, insira as condições de busca para visualizar os produtos."
"Please select options for product.","Por favor, selecione as opções para o produto."
"Please select products to add","Por favor, selecione produtos para adicionar"
"Please specify product option(s)","Por favor, especifique as opções do produto"
"Position","Posição"
"Price Range","Faixa de preço"
"Price Type","Tipo de preço"
"Price as configured","Preço conforme configurado"
"Qty:","Qtde:"
"Radio Buttons","Botões radio"
"Required options not selected.","Opções obrigatórias não selecionadas."
"Selected required options not available.","Opções obrigatórias selecionadas não estão disponíveis."
"Separately","Separadamente"
"Ship Bundle Items","Enviar pacote de itens"
"Shipment","Postagem"
"Store View Title","Título da visão da loja"
"There is no defined renderer for ""%s"" option type","Não existe renderizador definido para o tipo de opção ""%s"""
"This product is also part of bundle(s)","Este produto também faz parte de pacote(s)"
"To","Para"
"To:","Para:"
"Together","Junto"
"User Defined Qty","Quantidade definida pelo usuário"
