"# of Use","# di utilizzo"
"%1$s incl tax.","%1$s incl tasse."
"%s - %s","%s - %s"
"%s Item(s)","%s Prodotto/I"
"(Copy data from: %s)","(Copia dati da: %s)"
"(Will make search for the query above return results for this search.)","(La ricerca per la query qui sopra inizierà dopo il risultato di questa ricerca.)"
"* Required Fields","* Campi obbligatori"
"-- Please Select --","-- Selezionare --"
"A name is required","richiesto un nome"
"ALL GROUPS","TUTTI I GRUPPI"
"AM","AM"
"Action","Azione"
"Add Attribute","Aggiungi attributo"
"Add Design Change","Aggiungi modifica di design"
"Add Group","Aggiungi gruppo"
"Add Items to Cart","Aggiungi Articoli al Carrello"
"Add New","Aggiungi nuovo"
"Add New Attribute","Aggiungi un nuovo attributo"
"Add New Attribute Set","Aggiungi un nuovo Set di attributi"
"Add New Group","Aggiungi nuovo gruppo"
"Add New Images","Aggiungi nuove immagini"
"Add New Option","Aggiungi nuove opzioni"
"Add New Row","Aggiungi nuova riga"
"Add New Search Term","Aggiungi un nuovo termine di ricerca"
"Add New Set","Aggiungi nuovo set"
"Add Option","Aggiungi Opzione"
"Add Product","Aggiungi prodotto"
"Add Product To Websites","Aggiungi prodotto al sito"
"Add Root Category","Aggiungi categoria root"
"Add Subcategory","Aggiungi sottocategoria"
"Add Tax","Aggiungi tasse"
"Add Tier","Aggiungi fascia"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Confronta"
"Add to My Wishlist","Aggiungi alla Mia Wishlist"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Information","Ulteriori informazioni"
"All","Tutto"
"All Product Types","Tutti i tipi di prodotto"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tutti i prodotti di questo set saranno cancellati! Sei sicuro di voler cancellare questo set di attributi?"
"Allow HTML-tags on Front-end","Abilita tag htlm sulla Front-end"
"Allowed File Extensions","Estensione file permesse"
"Allowed file extensions to upload","Estensione file permessa per il caricamento"
"Amount","Importo"
"Apply To","Applica a"
"Apply To Configurable/Grouped Product","Applica a Prodotto Configurabile/Raggruppato"
"Approved","Approvato"
"Are you sure you want to delete this category?","Sei sicuro di voler cancellare questa categoria?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti dal confronto?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo elemento dal confronto dei prodotti?"
"Are you sure?","Sei sicuro?"
"As low as:","A partire da:"
"Assign","Assegna"
"Assign product link","Assegna link prodotto"
"Assign product to category","Assegna prodotto alla categoria"
"Assigned Products","Prodotti assegnati"
"Associated Products","Prodotti associati"
"Attrib. Set Name","Nome set attrib."
"Attribute Code","Codice Attributo"
"Attribute Information","Informazioni attributo"
"Attribute Label","Etichetta Attributo"
"Attribute Model","Modello attributo"
"Attribute Name:","Nome attributo:"
"Attribute Properties","Proprietà Attributo"
"Attribute Set","Set attributi"
