" Copy"," Copia"
"Action","Azione"
"Add New Template","Aggiungi nuovo Template"
"Add to Queue","Aggiungi alla coda"
"Are you sure that you want to delete this template?","Sicuro di voler cancellare questo template?"
"Are you sure that you want to strip all tags?","Sicuro di voler rimuovere tutte le tag?"
"Back","Indietro"
"Cancel","Cancella"
"Cancelled","Cancellato"
"Cannot delete subscriber","Impossibile cancellare l'iscritto"
"Cannot delete template","Impossible cancellare il template"
"Cannot mark as received subscriber","Impossibile contrassegnare come iscritto ricevuto"
"Cannot save your subscription: %s","Impossibile salvare la tua iscrizione: %s"
"Confirmation Email Sender","Conferma mittente Email"
"Confirmation Email Template","Conferm Template Email"
"Confirmation request has been sent","Una richiesta di conferma è stata inviata"
"Convert to Plain Text","Convertire in testo semplice"
"Create Newsletter Template","Create Template Newsletter"
"Customer","Cliente"
"Customer Firstname","Nome Cliente"
"Customer Lastname","Cognome Cliente"
"Date Added","Data aggiunta"
"Date Updated","Data aggiornata"
"Delete Selected Problems","Cancella problemi selezionati"
"Delete Template","Cancella Template"
"Do you really want to cancel the queue?","Vuoi davvero cancellare la coda?"
"Duplicate of template code","Duplicazione del codice del template"
"Edit Newsletter","Modifica Newsletter"
"Edit Newsletter Template","Modifica Template Newsletter"
"Edit Queue","Modifica Coda"
"Edit Template","Modifica Template"
"Email","Email"
"Enter your email address","Inserisci il tuo indirizzo"
"Error Code","Codice errore"
"Error Text","Testo errore"
"Form was filled incorrectly","Il modulo non è stato riempito correttamente"
"Guest","Ospite"
"ID","ID"
"Invalid queue selected","La coda selezionata è invalida"
"Invalid subscriber ID","L'ID dell'iscritto non è valido"
"Invalid subscription ID","L'ID dell'iscrizione non è valido"
"Invalid subscription confirmation code","Il codice di conferma iscrizione non è valido"
"Message","Mesaggio"
"Need to Confirm","Richiesta conferma"
"New Newsletter Template","Nuovo Template Newsletter"
"New Template","Nuovo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Anteprima Messaggio"
"Newsletter Problem Reports","Newsletter Resoconti problemi"
"Newsletter Queue","Newsletter Coda"
"Newsletter Section","Newsletter Sezione"
"Newsletter Sign-up","Iscrizione Newsletter"
"Newsletter Subscribers","Iscritti alla Newsletter"
"Newsletter Subscription","Iscrizione alla Newsletter"
"Newsletter Subscriptions","Iscrizioni alla Newsletter"
"Newsletter Templates","Newsletter Template"
"Newsletter subscription confirmation","Conferma iscrizione alla newsletter"
"Newsletter subscription success","Iscrizione alla Newsletter riuscita"
"Newsletter unsubscription success","Non sei più iscritto alla Newsletter"
"No Templates Found","Nessun Template trovato"
"No problems found","Nessun problema trovato"
"No subscribers selected","Non è stato selezionato alcun iscritto"
"Not Sent","Non inviato"
"Not activated","Non attivata"
"Pause","Pausa"
"Paused","Fermato"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Prego inserire un nuovo nome Template"
"Please select subscriber(s)","Prego selezionare I sottoscrittori"
"Preview","Anteprima"
"Preview Template","Anteprima Template"
"Processed","Elaborato"
"Queue Date Start","Data inizio coda"
"Queue Finish","fine coda"
"Queue Information","Informazioni coda"
"Queue Newsletter","Coda Newsletter"
"Queue Start","Inizio coda"
"Queue Subject","Soggetto coda"
"Recipients","Contenitori"
"Reset","Reimposta"
"Resume","Riprendi"
"Return Html Version","Restituisci Versione Html"
"Save And Resume","Salva e Continua"
"Save As","Salva come"
"Save Newsletter","Salva Newsletter"
"Save Template","Salva Template"
"Selected problem subscribers successfully unsubscribed","Gli iscritti selezionati sono stati rimossi correttamente"
"Selected problems successfully deleted","I problemi selezionati sono stati eliminati correttamente"
"Sender","Mittente"
"Sender Email","Email Mittente"
"Sender Name","Nome Mittente"
"Sending","Invio in corso"
"Sending Options","Opzioni di Invio"
"Sent","Inviato"
"Set Return-Path","Imposta Path-Ritorno"
"Sign me up","Registrami"
"Sign up for our newsletter:","Iscriviti alla nostra newsletter:"
"Start","Inizio"
"Status","Stato"
"Store","Negozio"
"Store View","Vista Negozio"
"Subject","Soggetto"
"Subscribe","Sottoscrivi"
"Subscribed","Sottoscritto"
