"%s Item(s)","%s oggetto(i)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Negozio Magento Demo. Tutti I diritti riservati."
"(Shift-)Click or drag to change value","(Shift-)Click o trascina per cambiare il valore"
"(ver. %s)","(vers. %s)"
"- Click on any of the time parts to increase it","- Cliccare su una qualsiasi delle parti del tempo per modificarla"
"- Hold mouse button on any of the above buttons for faster selection.","- Tenere premuto il bottone del mouse su uno qualsiasi dei bottoni qui sopra, per accelerare la selezione."
"- Use the %s buttons to select month","- Usa i tasti %s per selezionare il mese"
"- Use the %s, %s buttons to select year","- Usa i bottoni %s, %s per selezionare l'anno"
"- or Shift-click to decrease it","- o Shift-click per decrementare"
"- or click and drag for faster selection.","- o clicca e trascina per una selezione più rapida."
"About the calendar","Riguardo il calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Clicca <a href=""%s"">qui</a> se non accade nulla"
"Close","Chiudi"
"Close Window","Chiudi finestra"
"DHTML Date/Time Selector","DHTML selezionatore Data/Ora "
"Date selection:","Selezione Data:"
"Default Description","Descrizione predefinita"
"Default welcome msg!","Msg di benvenuto predefinito!"
"Display %s first","Mostra prima %s"
"Distributed under GNU LGPL. See %s for details.","Distribuito sotto GNU LGPL. Vedi %s per I dettagli."
"Drag to move","Trascina per muovere"
"For latest version visit: %s","Per la versione dell' ultima visita: %s"
"Go Today","Vai Oggi"
"Help Us to Keep Magento Healthy","Aiutaci a mantenere Magento in salute"
"Interface Language","Linguaggio Interfaccia"
"Items %s to %s of %s total","Oggetti %s a %s di %s totali"
"Next Page","Prossima pagina"
"Next month (hold for menu)","Prossimo mese (tenere premuto per il menu)"
"Next year (hold for menu)","Prossimo anno (tenere premuto per il menu)"
"Page:","Pagina:"
"Prev. month (hold for menu)","Mese precedente (tenere premuto per il menu)"
"Prev. year (hold for menu)","Anno precendente (tenere premuto per il menu)"
"Previous Page","Pagina precedente"
"Redirecting...","Riindirizzamento..."
"Report All Bugs","Segnala gli errori"
"Select Store","Seleziona Negozio"
"Select date","Seleziona data"
"Show","Mostra"
"Skip to Footer","Salta al Footer"
"Skip to Left Column","Salta alla Colonna di Sinistra"
"Skip to Main Content","Vai al contenuto principale"
"Skip to Right Column","Salta alla Colonna di Destra"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo é un negozio demo. Tutti gli ordini effettuati attraverso questo negozio, non saranno onorati o portati a compimento."
"Time selection:","Selezione Ora:"
"Time:","Ora:"
"Welcome, %s!","Benvenuto, %s!"
"You're currently on:","Attualmente sei su:"
"Your Language","La tua Lingua"
"Your Language:","La tua Lingua"
"per page","per pagina"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
