"-- Please select --","-- Seleziona --"
"Allowed currencies","Valute consentite"
"Base currency","Valuta di Base"
"Cannot retrieve rate from %s","Impossibile recuperare il tasso da %s"
"Connection timeout in seconds","Timeout della Connsssione in secondi"
"Continue &raquo;","Continua &raquo;"
"Country","Paese"
"Country Api","Paese Api"
"Country and Format Type combination should be unique","Paese e combinazioni tipo di formato devono essere unici"
"Currency","Valuta di base"
"Currency Options","Opzioni valuta"
"Currency Setup","Impostazioni valuta"
"Currency Update Warnings","Avvisi aggiornamento valuta"
"Currency will be used for all online payment transactions","La valuta sarà usata per tutte le transazioni online"
"Default display currency","Visualizzazione Valuta Default"
"Directory","Cartella"
"Enabled","Attivato"
"Error Email Recipient","Errore email destinatario"
"Error Email Sender","Errore email mittente"
"Error Email Template","Errore email template"
"FATAL ERROR:","ERRORE FATALE:"
"Frequency","Frequenza"
"Installed Currencies","Valute installate"
"Invalid Import Service Specified","Specificato Servizio di Importazione Invalido"
"Invalid country code: %s","Codice paese non valido: %s"
"Invalid rates received","Tassi ricevuti non validi"
"Invalid target currency","Valuta non valida"
"List of countries","Lista di Paesi"
"List of regions in specified country","Lista di regioni in Paesi specifici"
"Region","Regione"
"Region Api","Regione Api"
"Remove space from currency sign","Elimina spazio dal segno della valuta"
"Scheduled Import Settings","Impostazioni programmi importate"
"Select Your Currency","Seleziona la tua valita"
"Service","Servizio"
"Start Time","Inizio"
"State/Province","Stato/Provincia"
"Strikeiron Email Update Warnings","Strikeiron email avviso aggiornamento"
"Unable to initialize import model","Impossibile inizializzare il modello di importazione."
"Undefined rate from ""%s-%s""","Tasso indefinito da ""%s-%s"""
"WARNING:","ATTENZIONE:"
"Webservicex","Webservicex"
"Your current currency is: %s","La tua valuta corrente è: %s"
