"Alert Email Sender","Avviso email mittente"
"Alert subscription was deleted successfully","Iscrizione all'avviso elimintato correttamente"
"Alert subscription was saved successfully","Iscrizione all'avviso salvata correttamente"
"Allow alert when product comes back in stock","Abilita avviso quando il prodotto torna disponibile in magazzino"
"Allow alert when product price changes","Abilita avviso quando il prezzo del prodotto cambia"
"Click here not to receive alerts for this product","Clicca qui per ricevere avvisi sul prodotto"
"Error Email Recipient","Errore destinatario email"
"Error Email Sender","Errore mittente email"
"Error Email Template","Errore template email"
"Frequency","Frequenza"
"Not enough parameters","I parametri non sono sufficienti"
"Please try again later","Per favore riprova più tardi"
"Price alert Email Template","Template delle email avviso sul prezzo"
"Price:","Prezzo:"
"Product Alerts","Avviso prodotti"
"Product Alerts Run Settings","Avviso prodotti avvia impostazioni"
"Product alerts Cron error","Errore allerta prodotti Cron"
"Product not found","Prodotto non trovato"
"Product price alert","Avviso prezzo prodotto"
"Product stock alert","Avviso magazzino prodotto"
"Sign up for price alert","Iscriviti alle notifiche prezzo"
"Sign up to get notified when this product is back in stock","Accedi per essere avvisato quando il prodotto torna in magazzino."
"Special price:","Prezzo speciale:"
"Start Time","Inizio"
"Stock alert Email Template","Template Email di avviso di disponibilità"
"Unsubscribe from all price alerts","Cancellati da tutti gli avvisi dei prezzi"
"Unsubscribe from all stock alerts","Cancellati da tutti gli avvisi del magazzino"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti tornano in magazzino."
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti hanno subito dei cambianti di prezzo:"
"You will no longer receive price alerts for this product","Non riceverai più gli avvisi sul prezzo di questo prodotto"
"You will no longer receive stock alerts","Non riceverai più avvisi sulla disponibilità"
"You will no longer receive stock alerts for this product","Non riceverai più avvisi sulla disponibilità di questo prodotto"
